Date,Open,High,Low,Close,Adj Close,Volume
9/1/1986,0,0.300781,0.222656,0.269531,0.253072,22393600
10/1/1986,0,0.375,0.269531,0.365234,0.342931,26118400
11/1/1986,0,0.390625,0.339844,0.382813,0.359437,18368000
12/1/1986,0,0.421875,0.363281,0.398438,0.374108,46156800
1/1/1987,0,0.578125,0.40625,0.53125,0.498809,62105600
2/1/1987,0,0.730469,0.539063,0.710938,0.667525,71571200
3/1/1987,0,1.109375,0.699219,1.078125,1.01229,176380800
4/1/1987,1.078125,1.5625,1,1.515625,1.423074,114217600
5/1/1987,1.515625,1.75,1.421875,1.5,1.408403,58790400
6/1/1987,1.5,1.539063,0.875,1.085938,1.019625,169865600
7/1/1987,1.085938,1.15625,0.9375,1.03125,0.968277,78195200
8/1/1987,1.03125,1.226563,0.9375,1.007813,0.946271,80700800
9/1/1987,1.007813,1.242188,0.992188,1.203125,1.129657,68310400
10/1/1987,1.203125,1.421875,0.40625,0.703125,0.660189,128131200
11/1/1987,0.703125,0.859375,0.640625,0.757813,0.711537,66668800
12/1/1987,0.757813,0.953125,0.71875,0.921875,0.865581,59043200
1/1/1988,0.921875,0.984375,0.742188,0.828125,0.777556,97209600
2/1/1988,0.828125,0.960938,0.734375,0.90625,0.85091,81411200
3/1/1988,0.921875,1.0625,0.90625,0.96875,0.909594,90256000
4/1/1988,0.929688,1.140625,0.921875,1.09375,1.02696,58073600
5/1/1988,1.109375,1.15625,0.96875,1.101563,1.034296,65619200
6/1/1988,1.125,1.257813,1.101563,1.257813,1.181005,63232000
7/1/1988,1.25,1.421875,1.242188,1.296875,1.217682,47408000
8/1/1988,1.304688,1.328125,1.085938,1.21875,1.144327,75910400
9/1/1988,1.1875,1.398438,1.148438,1.359375,1.276366,62985600
10/1/1988,1.34375,1.546875,1.328125,1.339844,1.258027,126787200
11/1/1988,1.359375,1.421875,1.296875,1.390625,1.305707,61270400
12/1/1988,1.4375,1.59375,1.3125,1.53125,1.437745,65182400
1/1/1989,1.5625,1.625,1.359375,1.445313,1.357055,91731200
2/1/1989,1.453125,1.578125,1.21875,1.265625,1.18834,198883200
3/1/1989,1.265625,1.390625,1.15625,1.34375,1.261694,135072000
4/1/1989,1.359375,1.6875,1.34375,1.671875,1.569782,80529600
5/1/1989,1.65625,1.875,1.546875,1.765625,1.657808,112435200
6/1/1989,1.765625,1.859375,1.59375,1.65625,1.555111,86942400
7/1/1989,1.65625,1.6875,1.382813,1.421875,1.335048,150236800
8/1/1989,1.421875,1.65625,1.375,1.578125,1.481757,112894400
9/1/1989,1.578125,1.585938,0.921875,1.109375,1.041631,297713600
10/1/1989,1.09375,1.125,0.875,1.046875,0.982948,120590400
11/1/1989,1.046875,1.25,0.984375,1.203125,1.129657,56182400
12/1/1989,1.1875,1.28125,1.015625,1.265625,1.18834,61203200
1/1/1990,1.265625,1.578125,1.21875,1.46875,1.379061,148638400
2/1/1990,1.484375,1.921875,1.453125,1.890625,1.779084,125196800
3/1/1990,1.90625,2.90625,1.890625,2.375,2.234883,296008000
4/1/1990,2.3125,2.53125,2.28125,2.390625,2.253144,114280000
5/1/1990,2.4375,3.171875,2.078125,2.226563,2.098517,370451200
6/1/1990,2.25,2.453125,1.890625,2.296875,2.164785,279147200
7/1/1990,2.3125,2.4375,2.109375,2.195313,2.069063,126584000
8/1/1990,2.1875,2.21875,1.453125,1.5625,1.475051,140803200
9/1/1990,1.546875,1.828125,1.109375,1.1875,1.121039,184358400
10/1/1990,1.265625,1.671875,1.0625,1.5,1.41625,184884800
11/1/1990,1.515625,1.875,1.46875,1.578125,1.490013,219249600
12/1/1990,1.59375,1.953125,1.578125,1.820313,1.718679,132350400
1/1/1991,1.8125,2.40625,1.671875,2.375,2.242396,231432000
2/1/1991,2.390625,3.140625,2.375,3.007813,2.840249,199214400
3/1/1991,2.984375,3.453125,2.8125,3.375,3.186979,208040000
4/1/1991,3.359375,3.9375,3.171875,3.234375,3.058988,167409600
5/1/1991,3.140625,3.453125,2.765625,3.15625,2.985099,207204800
6/1/1991,3.171875,3.4375,2.625,2.703125,2.556545,143364800
7/1/1991,2.765625,3.359375,2.6875,3.34375,3.167896,141049600
8/1/1991,3.34375,3.78125,2.984375,3.179688,3.012462,248152000
9/1/1991,3.203125,3.484375,2.578125,3.203125,3.034667,237348800
10/1/1991,3.203125,3.484375,3,3.3125,3.143137,142470400
11/1/1991,3.25,3.625,2.921875,3,2.846615,164289600
12/1/1991,2.953125,4.234375,2.953125,4.09375,3.884443,161156800
1/1/1992,4.046875,4.28125,3.671875,3.835938,3.639813,236782400
2/1/1992,3.828125,4.0625,3.40625,3.53125,3.354784,143904000
3/1/1992,3.515625,3.671875,3.09375,3.203125,3.043057,224454400
4/1/1992,3.171875,3.1875,2.34375,2.765625,2.631264,306241600
5/1/1992,2.765625,3.03125,2.65625,2.84375,2.705595,167400000
6/1/1992,2.828125,3.078125,2.59375,2.84375,2.705595,205929600
7/1/1992,2.828125,2.9375,2.234375,2.375,2.263553,286363200
8/1/1992,2.34375,2.40625,1.984375,2.03125,1.935934,238894400
9/1/1992,2.03125,2.28125,1.65625,1.757813,1.675328,307689600
10/1/1992,1.765625,2.25,1.578125,2.226563,2.127851,270187200
11/1/1992,2.203125,2.40625,1.953125,2.125,2.030792,221929600
12/1/1992,2.140625,2.21875,1.8125,1.96875,1.881469,134280000
1/1/1993,2,2.859375,1.953125,2.59375,2.47876,319636800
2/1/1993,2.578125,2.859375,2.453125,2.789063,2.670893,164121600
3/1/1993,2.828125,2.9375,2.609375,2.6875,2.573634,172134400
4/1/1993,2.6875,3.625,2.3125,3.578125,3.434307,288004800
5/1/1993,3.5625,4.46875,3.5625,4.125,3.959203,269955200
6/1/1993,4.109375,4.625,3.828125,3.859375,3.704253,401220800
7/1/1993,3.828125,3.921875,2.96875,3.09375,2.974237,263379200
8/1/1993,3.09375,3.734375,2.40625,2.65625,2.553638,237898400
9/1/1993,2.625,2.6875,2.03125,2.28125,2.193124,197997600
10/1/1993,2.34375,2.90625,2.25,2.71875,2.613724,168071200
11/1/1993,2.71875,3.078125,2.375,2.890625,2.786594,144061600
12/1/1993,2.9375,3.125,2.46875,2.78125,2.681155,131544800
1/1/1994,2.78125,3.875,2.5625,3.78125,3.645166,217053600
2/1/1994,3.8125,4,3.3125,3.65625,3.531084,121456000
3/1/1994,3.71875,4.3125,2.9375,3.03125,2.92748,257851200
4/1/1994,2.875,3.40625,2.6875,3.34375,3.235445,182832000
5/1/1994,3.3125,3.71875,2.96875,3.59375,3.477348,163617600
6/1/1994,3.5625,3.78125,3.0625,3.40625,3.295921,117711200
7/1/1994,3.40625,3.96875,3.296875,3.875,3.756445,150084800
8/1/1994,3.84375,4.3125,3.59375,3.96875,3.847326,130108000
9/1/1994,3.9375,4.625,3.71875,4.0625,3.938208,145412000
10/1/1994,4.09375,4.8125,3.96875,4.5,4.368795,130593600
11/1/1994,4.5,4.6875,3.875,4.125,4.004729,114940000
12/1/1994,4.125,4.375,3.5625,3.71875,3.610323,162810400
1/1/1995,3.75,4.1875,3.40625,3.617188,3.511722,169518400
2/1/1995,3.65625,4.53125,3.5625,4.46875,4.345465,154816800
3/1/1995,4.4375,6.59375,4.28125,6.1875,6.016797,296831200
4/1/1995,6.15625,7.3125,5.796875,7.28125,7.087426,210144000
5/1/1995,7.25,7.34375,6.4375,6.5,6.32697,194244000
6/1/1995,6.5,8.3125,6.4375,7.25,7.057008,270233600
7/1/1995,7.3125,8.25,6.71875,7.71875,7.513278,171980000
8/1/1995,7.71875,8.03125,6.1875,6.375,6.21063,280664000
9/1/1995,6.40625,6.84375,5.65625,6.46875,6.301961,289660000
10/1/1995,6.515625,7.390625,5.625,7.125,6.941291,229078400
11/1/1995,7.125,8.78125,7.0625,8.453125,8.243063,321649600
12/1/1995,8.53125,9.28125,7.125,7.75,7.55741,269967200
1/1/1996,7.75,8.03125,4.1875,4.25,4.144384,600165600
2/1/1996,3.90625,5.09375,3.75,4.1875,4.089059,368700000
3/1/1996,4.21875,4.40625,3.84375,4.03125,3.936483,267349600
4/1/1996,4.0625,5.46875,3.953125,5.375,5.248643,206333600
5/1/1996,5.3125,5.640625,4.546875,4.640625,4.538435,270352000
6/1/1996,4.625,4.6875,4.1875,4.484375,4.385626,216494400
7/1/1996,4.484375,4.578125,3.5625,3.796875,3.713265,187437600
8/1/1996,3.8125,4.734375,3.75,4.359375,4.269299,131884000
