Date,Open,High,Low,Close,Adj Close,Volume
4/1/1986,0.061728,0.08912,0.060185,0.07716,0.066063,395247600
5/1/1986,0.07716,0.083333,0.071759,0.072531,0.0621,199195200
6/1/1986,0.072531,0.080247,0.064815,0.075231,0.064411,308221200
7/1/1986,0.075231,0.076389,0.04784,0.04784,0.04096,448513200
8/1/1986,0.04784,0.052469,0.041667,0.050926,0.043602,357080400
9/1/1986,0.050926,0.053241,0.040123,0.043981,0.037656,414752400
10/1/1986,0.043981,0.059414,0.042438,0.055556,0.047566,603158400
11/1/1986,0.054784,0.067901,0.054012,0.066358,0.056814,551545200
12/1/1986,0.066358,0.066358,0.05787,0.064043,0.054832,354650400
1/1/1987,0.064043,0.092593,0.0625,0.083333,0.071348,1310158800
2/1/1987,0.083333,0.119599,0.082562,0.118827,0.101737,1006959600
3/1/1987,0.118827,0.143519,0.115741,0.135802,0.116271,548596800
4/1/1987,0.135802,0.17284,0.125,0.145062,0.124199,849722400
5/1/1987,0.145062,0.182099,0.137346,0.16821,0.144018,509765400
6/1/1987,0.16821,0.169753,0.126543,0.137346,0.117593,653491800
7/1/1987,0.137346,0.148148,0.123457,0.140432,0.120235,614660400
8/1/1987,0.140432,0.165123,0.137346,0.165123,0.141375,519598800
9/1/1987,0.165123,0.21142,0.143519,0.200617,0.171764,650057400
10/1/1987,0.200617,0.234568,0.094136,0.154321,0.132126,1512318600
11/1/1987,0.154321,0.158951,0.12037,0.134259,0.11495,614887200
12/1/1987,0.134259,0.197531,0.118827,0.179012,0.153266,647643600
1/1/1988,0.179012,0.20679,0.140432,0.17284,0.147982,734840100
2/1/1988,0.17284,0.200617,0.148148,0.186728,0.159873,508931100
3/1/1988,0.186728,0.219136,0.182099,0.200617,0.171764,865420200
4/1/1988,0.200617,0.209877,0.182099,0.20679,0.177049,437788800
5/1/1988,0.20679,0.222222,0.188272,0.20679,0.177049,463279500
6/1/1988,0.20679,0.256173,0.20679,0.243827,0.20876,831805200
7/1/1988,0.243827,0.274691,0.222222,0.234568,0.200832,740032200
8/1/1988,0.234568,0.25,0.20679,0.228395,0.195547,570264300
9/1/1988,0.228395,0.253086,0.219136,0.248457,0.212724,483359400
10/1/1988,0.248457,0.25,0.179012,0.194444,0.166479,1300438800
11/1/1988,0.194444,0.222222,0.185185,0.212963,0.182334,715545900
12/1/1988,0.212963,0.243827,0.209877,0.240741,0.206117,1106735400
1/1/1989,0.240741,0.302469,0.231481,0.291667,0.249719,1255419000
2/1/1989,0.291667,0.308642,0.271605,0.277778,0.237828,794383200
3/1/1989,0.277778,0.314815,0.265432,0.29784,0.255004,1134396900
4/1/1989,0.29784,0.361111,0.287037,0.358025,0.306534,974810700
5/1/1989,0.354938,0.37963,0.324074,0.376543,0.322388,876978900
6/1/1989,0.376543,0.41358,0.364198,0.367284,0.314461,864942300
7/1/1989,0.373457,0.425926,0.373457,0.37963,0.325031,651171150
8/1/1989,0.37963,0.469136,0.364198,0.462963,0.396379,868720950
9/1/1989,0.462963,0.595679,0.447531,0.583333,0.499437,801077850
10/1/1989,0.583333,0.641975,0.518519,0.574074,0.49151,912521700
11/1/1989,0.574074,0.62037,0.530864,0.592593,0.507366,506537550
12/1/1989,0.592593,0.617284,0.503086,0.57716,0.494152,687653550
1/1/1990,0.57716,0.601852,0.441358,0.530864,0.454515,1409707800
2/1/1990,0.530864,0.595679,0.478395,0.552469,0.473012,804735000
3/1/1990,0.552469,0.700617,0.425926,0.466049,0.399021,2355856650
4/1/1990,0.466049,0.484568,0.376543,0.391975,0.335601,1416260700
5/1/1990,0.391975,0.5,0.358025,0.487654,0.417519,1616549400
6/1/1990,0.487654,0.592593,0.487654,0.570988,0.488868,1252057500
7/1/1990,0.570988,0.583333,0.410494,0.416667,0.356741,1457781300
8/1/1990,0.416667,0.429012,0.259259,0.287037,0.245755,1320761700
9/1/1990,0.287037,0.299383,0.126543,0.160494,0.137412,2038806450
10/1/1990,0.160494,0.169753,0.12037,0.132716,0.113629,934752150
11/1/1990,0.132716,0.197531,0.126543,0.194444,0.166479,1035382500
12/1/1990,0.194444,0.209877,0.175926,0.194444,0.166479,907252650
1/1/1991,0.194444,0.240741,0.135802,0.222222,0.190262,2137776300
2/1/1991,0.222222,0.274691,0.203704,0.222222,0.190262,1468663650
3/1/1991,0.219136,0.243827,0.197531,0.222222,0.190262,1197350100
4/1/1991,0.222222,0.283951,0.219136,0.228395,0.195547,1230766650
5/1/1991,0.228395,0.246914,0.17284,0.185185,0.158551,750303000
6/1/1991,0.185185,0.246914,0.182099,0.209877,0.179692,841500900
7/1/1991,0.209877,0.234568,0.194444,0.225309,0.192905,798093000
8/1/1991,0.225309,0.283951,0.219136,0.277778,0.237828,916786350
9/1/1991,0.277778,0.348765,0.253086,0.330247,0.28275,1275920100
10/1/1991,0.330247,0.398148,0.32716,0.388889,0.332959,1395395100
11/1/1991,0.388889,0.410494,0.32716,0.333333,0.285393,848288700
12/1/1991,0.333333,0.373457,0.296296,0.358025,0.306534,933678900
1/1/1992,0.358025,0.487654,0.345679,0.45679,0.391094,1883501100
2/1/1992,0.45679,0.521605,0.453704,0.493827,0.422804,799465950
3/1/1992,0.490741,0.503086,0.32716,0.333333,0.285393,1704766500
4/1/1992,0.330247,0.358025,0.296296,0.342593,0.293321,979755750
5/1/1992,0.342593,0.404321,0.339506,0.367284,0.314461,610249950
6/1/1992,0.364198,0.429012,0.345679,0.376543,0.322388,828986400
7/1/1992,0.41358,0.472222,0.398148,0.459877,0.393737,1294282800
8/1/1992,0.453704,0.462963,0.388889,0.432099,0.369954,616146750
9/1/1992,0.432099,0.521605,0.429012,0.493827,0.422804,1372253400
10/1/1992,0.490741,0.57716,0.459877,0.549383,0.47037,1380450600
11/1/1992,0.549383,0.611111,0.5,0.549383,0.47037,952345350
12/1/1992,0.549383,0.70679,0.466049,0.700617,0.599853,1503315450
1/1/1993,0.697531,0.898148,0.685185,0.802469,0.687057,1563393150
2/1/1993,0.805556,0.851852,0.657407,0.808642,0.692342,1313390700
3/1/1993,0.814815,0.925926,0.771605,0.907407,0.776903,1470688650
4/1/1993,0.904321,0.92284,0.783951,0.87963,0.753121,1060176600
5/1/1993,0.882716,1.101852,0.873457,1.030864,0.882604,1280504700
6/1/1993,1.030864,1.268519,0.981481,1.216049,1.041156,1415195550
7/1/1993,1.216049,1.299383,1.12963,1.243827,1.064938,1241154900
8/1/1993,1.237654,1.404321,1.151235,1.271605,1.088721,1394682300
9/1/1993,1.271605,1.580247,1.175926,1.515432,1.29748,1539307800
10/1/1993,1.515432,1.595679,1.416667,1.462963,1.252558,1467707850
11/1/1993,1.466049,1.62963,1.358025,1.561728,1.337118,1000550475
12/1/1993,1.592593,1.864198,1.407407,1.419753,1.215562,1462286925
1/1/1994,1.419753,1.746914,1.345679,1.58642,1.358259,1354178250
2/1/1994,1.58642,1.734568,1.506173,1.62963,1.395255,790446600
3/1/1994,1.641975,1.771605,1.493827,1.58642,1.358259,863528850
4/1/1994,1.549383,1.669753,1.296296,1.475309,1.263128,1012362300
5/1/1994,1.481481,1.697531,1.376543,1.691358,1.448105,960439275
6/1/1994,1.685185,1.91358,1.660494,1.851852,1.585517,1381493475
7/1/1994,1.851852,1.981481,1.753086,1.888889,1.617226,814728375
8/1/1994,1.895062,2.191358,1.796296,2.108025,1.804846,902163825
9/1/1994,2.092593,2.222222,2.04321,2.123457,1.818059,723799800
10/1/1994,2.12963,2.296296,2.049383,2.271605,1.9449,735931575
11/1/1994,2.259259,2.290123,1.907407,2.037037,1.744068,859499100
12/1/1994,2.024691,2.234568,1.82716,2.179012,1.865624,1053433350
1/1/1995,2.179012,2.216049,1.975309,2.104938,1.802203,888551775
2/1/1995,2.12963,2.37963,2.080247,2.324074,1.989823,627496875
3/1/1995,2.342593,2.564815,2.268519,2.314815,1.981896,832434300
4/1/1995,2.305556,2.462963,2.074074,2.259259,1.934329,972492750
5/1/1995,2.268519,2.851852,2.203704,2.574074,2.203868,1133985150
6/1/1995,2.592593,3,2.518519,2.861111,2.449622,872500950
7/1/1995,2.87037,3.259259,2.703704,3.101852,2.65574,798700500
8/1/1995,3.111111,3.287037,2.798611,2.972222,2.544754,735855300
9/1/1995,2.972222,3.481481,2.694444,2.842593,2.433767,1385949150
10/1/1995,2.861111,3.333333,2.592593,3.231481,2.766726,1212979050
11/1/1995,3.240741,3.611111,3.194444,3.361111,2.877712,904903650
12/1/1995,3.37037,3.527778,2.953704,3.138889,2.68745,1145360250
1/1/1996,3.166667,3.666667,2.925926,3.537037,3.028336,1435228200
2/1/1996,3.527778,4.074074,3.481481,3.851852,3.297874,1108042200
3/1/1996,3.861111,3.861111,3.462963,3.490741,2.988698,1264721850
4/1/1996,3.518519,3.902778,2.943287,3.75,3.21067,1634831100
5/1/1996,3.75,4,3.555556,3.680556,3.151215,733859100
6/1/1996,3.680556,4.486111,3.555556,4.381944,3.751727,865091700
7/1/1996,4.388889,4.444444,3.694444,4.347222,3.721998,863568900
8/1/1996,4.347222,4.680556,3.902778,3.916667,3.353368,764326800
9/1/1996,3.861111,4.944444,3.833333,4.729167,4.049011,897347700
10/1/1996,4.715278,5.152778,4.541667,4.701389,4.025229,702131400
11/1/1996,4.763889,5.569444,4.75,5.444444,4.661418,746407800
12/1/1996,5.430556,5.666667,4.583333,4.638889,3.971718,1117974600
1/1/1997,4.680556,5.013889,4.111111,4.319444,3.698217,1562391000
2/1/1997,4.375,4.736111,4.180556,4.361111,3.733891,931099500
3/1/1997,4.361111,4.722222,3.736111,4.284722,3.668488,1501357500
4/1/1997,4.055556,4.444444,3.875,4.416667,3.781456,1066227300
5/1/1997,4.430556,5.347222,4.402778,5.180556,4.435483,1244190600
6/1/1997,5.194444,5.944444,5.111111,5.597222,4.792223,1237316400
7/1/1997,5.548611,6.555556,5.263889,6.048611,5.178693,948777300
8/1/1997,6.069444,7.020833,6.020833,6.354167,5.440303,872595000
9/1/1997,6.4375,6.677083,5.958333,6.072917,5.199502,918231600
10/1/1997,6.166667,6.291667,4.791667,5.963542,5.105857,863802000
11/1/1997,6.020833,6.208333,5.291667,5.552083,4.753576,644599800
12/1/1997,5.375,5.416667,3.489583,3.71875,3.183915,2827331400
1/1/1998,3.729167,3.979167,2.958333,3.875,3.317693,1702180200
2/1/1998,4.125,4.789063,3.9375,4.104167,3.513901,1345186800
