Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.375000,2.451389,2.256944,2.402778,1.019376,140122800
1985-02-01,2.402778,2.722222,2.347222,2.666667,1.131329,123732000
1985-03-01,2.666667,3.069444,2.645833,3.034722,1.287477,169671600
1985-04-01,3.034722,3.034722,2.805556,3.000000,1.283863,146140200
1985-05-01,3.055556,3.243056,2.923611,3.236111,1.384908,146062800
1985-06-01,3.277778,3.347222,3.187500,3.340278,1.429487,124749000
1985-07-01,3.333333,3.361111,3.069444,3.180556,1.371303,157482000
1985-08-01,3.194444,3.305556,3.131944,3.305556,1.425198,72124200
1985-09-01,3.305556,3.361111,3.187500,3.326389,1.434180,75801600
1985-10-01,3.333333,3.569444,3.277778,3.493056,1.517509,104531400
1985-11-01,3.493056,3.861111,3.479167,3.798611,1.650253,62560800
1985-12-01,3.805556,4.187500,3.763889,4.041667,1.755845,107505000
1986-01-01,4.034722,4.090278,3.666667,3.944444,1.724571,108340200
1986-02-01,3.951389,4.305556,3.847222,4.291667,1.876382,145519200
1986-03-01,4.291667,4.833333,4.277778,4.763889,2.082845,103867200
1986-04-01,4.763889,5.291667,4.472222,4.902778,2.155616,119993400
1986-05-01,4.819444,5.895833,4.638889,5.645833,2.482318,112819800
1986-06-01,5.645833,5.875000,5.458333,5.625000,2.473158,96862800
1986-07-01,5.625000,5.937500,4.979167,5.104167,2.254505,110920200
1986-08-01,5.125000,5.500000,5.041667,5.312500,2.346525,65061600
1986-09-01,5.333333,5.333333,4.083333,4.416667,1.950837,133881000
1986-10-01,4.458333,4.854167,4.229167,4.583333,2.035932,108854400
1986-11-01,4.583333,4.916667,4.166667,4.604167,2.045188,78437400
1986-12-01,4.520833,4.750000,4.270833,4.333333,1.924881,89069400
1987-01-01,4.375000,5.479167,4.333333,5.187500,2.317917,154501200
1987-02-01,5.125000,5.583333,5.104167,5.541667,2.476168,97323600
1987-03-01,5.562500,5.958333,5.354167,5.708333,2.550638,127261800
1987-04-01,5.541667,6.000000,5.020833,5.333333,2.394022,101958600
1987-05-01,5.333333,5.916667,4.958333,5.833333,2.618462,104049000
1987-06-01,5.770833,6.229167,5.604167,6.000000,2.693274,99363600
1987-07-01,5.916667,6.645833,5.708333,6.500000,2.931755,97011600
1987-08-01,6.458333,7.041667,6.208333,6.500000,2.931755,87384000
1987-09-01,6.604167,6.833333,6.020833,6.625000,2.988133,96512400
1987-10-01,6.604167,6.770833,3.583333,5.645833,2.557713,142600200
1987-11-01,5.500000,5.750000,4.979167,5.166667,2.340639,82489800
1987-12-01,5.270833,5.750000,5.000000,5.562500,2.519962,80635200
1988-01-01,5.562500,5.916667,5.000000,5.583333,2.543403,60889200
1988-02-01,5.604167,5.979167,5.437500,5.916667,2.695248,74884200
1988-03-01,5.895833,5.979167,5.625000,5.833333,2.657285,81705600
1988-04-01,5.791667,6.145833,5.541667,5.791667,2.651047,74170200
1988-05-01,5.833333,6.041667,5.458333,6.041667,2.765479,53329800
1988-06-01,6.000000,6.333333,5.916667,6.208333,2.841769,88179000
1988-07-01,6.229167,6.250000,5.583333,6.020833,2.771517,59908800
1988-08-01,6.020833,6.104167,5.687500,5.979167,2.752336,56747400
1988-09-01,5.937500,6.583333,5.812500,6.541667,3.011267,64338600
1988-10-01,6.500000,7.270833,6.333333,6.916667,3.202899,87745200
1988-11-01,6.916667,6.958333,6.416667,6.812500,3.154664,64981200
1988-12-01,6.812500,6.812500,6.270833,6.583333,3.048543,94162200
1989-01-01,6.583333,6.854167,6.291667,6.791667,3.162210,94891800
1989-02-01,6.750000,6.916667,6.500000,6.666667,3.104009,64924200
1989-03-01,6.729167,7.416667,6.645833,7.416667,3.453210,90967800
1989-04-01,7.395833,7.937500,7.354167,7.937500,3.714914,76909200
1989-05-01,7.916667,9.041667,7.895833,9.020833,4.221935,97374600
1989-06-01,9.000000,9.437500,8.520833,8.875000,4.153683,81565200
1989-07-01,8.854167,10.354167,8.687500,10.354167,4.868093,72543600
1989-08-01,10.312500,10.395833,9.479167,9.833333,4.623215,90161400
1989-09-01,9.833333,9.937500,9.187500,9.812500,4.613425,70527000
1989-10-01,9.770833,10.354167,8.979167,10.333333,4.878972,84387600
1989-11-01,10.270833,10.875000,9.895833,10.583333,4.997010,56536200
1989-12-01,10.645833,10.979167,10.166667,10.666667,5.036359,56111400
1990-01-01,10.666667,10.770833,9.000000,9.583333,4.542491,85749000
1990-02-01,9.583333,10.083333,9.354167,9.750000,4.621493,63050400
1990-03-01,9.708333,10.687500,9.416667,10.437500,4.947365,84162000
1990-04-01,10.312500,11.416667,10.291667,11.041667,5.256849,67071600
1990-05-01,11.187500,12.395833,10.937500,12.312500,5.861882,76986600
1990-06-01,12.416667,13.041667,12.000000,12.937500,6.159440,70145400
1990-07-01,12.895833,13.916667,12.750000,12.833333,6.134386,77839800
1990-08-01,12.833333,13.166667,10.875000,12.520833,5.985009,117313800
1990-09-01,12.291667,12.937500,10.500000,11.500000,5.497044,63579800
1990-10-01,11.562500,12.750000,11.062500,12.000000,5.758857,68943200
1990-11-01,12.000000,13.250000,11.562500,12.812500,6.148777,54994400
1990-12-01,12.937500,13.937500,12.750000,13.000000,6.238756,46912600
1991-01-01,13.125000,14.000000,11.750000,13.750000,6.623566,65716600
1991-02-01,13.625000,17.562500,13.250000,16.375000,7.888064,82425600
1991-03-01,15.875000,17.375000,15.562500,17.125000,8.249350,70618200
1991-04-01,17.000000,17.812500,14.750000,15.937500,7.700651,88128400
1991-05-01,16.000000,16.625000,15.375000,15.687500,7.579854,78069400
1991-06-01,15.562500,15.750000,13.875000,14.500000,7.006079,116549000
1991-07-01,14.687500,16.062500,14.062500,15.937500,7.730819,96491400
1991-08-01,15.875000,16.750000,14.937500,16.187500,7.852083,70790600
1991-09-01,16.187500,16.187500,14.000000,14.250000,6.912259,105258600
1991-10-01,14.312500,14.750000,13.500000,14.250000,6.940858,79028000
1991-11-01,14.250000,15.062500,14.000000,14.812500,7.214838,56326600
1991-12-01,14.687500,17.187500,14.687500,16.937500,8.249882,69451400
1992-01-01,16.750000,17.875000,16.000000,16.875000,8.252174,77569200
1992-02-01,16.500000,17.062500,15.250000,16.125000,7.885410,58246400
1992-03-01,16.312500,17.375000,15.562500,17.125000,8.374431,53426200
1992-04-01,17.062500,18.250000,16.687500,18.250000,8.958432,63757800
1992-05-01,18.250000,18.437500,17.375000,18.250000,8.958432,46047400
1992-06-01,18.062500,18.312500,17.062500,17.437500,8.559596,42963600
1992-07-01,17.437500,18.937500,17.437500,18.687500,9.206788,50796800
1992-08-01,18.562500,19.437500,18.375000,18.750000,9.237581,37700600
1992-09-01,18.625000,19.437500,18.062500,18.937500,9.329950,45636600
1992-10-01,19.250000,20.187500,18.625000,19.937500,9.856338,52901200
1992-11-01,19.875000,21.312500,19.062500,20.375000,10.072623,46322800
1992-12-01,20.375000,21.687500,20.187500,20.750000,10.258015,46679000
1993-01-01,20.687500,21.250000,19.312500,20.937500,10.382939,51759000
1993-02-01,20.875000,21.187500,19.250000,19.937500,9.887039,49501400
1993-03-01,19.875000,21.812500,19.625000,21.437500,10.630892,53272600
1993-04-01,21.500000,21.562500,17.500000,18.812500,9.358552,100269400
1993-05-01,18.750000,19.062500,17.812500,18.125000,9.016544,87628800
1993-06-01,18.250000,18.562500,17.250000,18.500000,9.203094,85744200
1993-07-01,18.437500,19.250000,17.312500,18.687500,9.337874,71026200
1993-08-01,18.750000,20.062500,18.375000,19.687500,9.837558,49333200
1993-09-01,19.500000,20.937500,19.437500,19.625000,9.806329,54844600
1993-10-01,19.562500,20.687500,19.000000,19.750000,9.909439,44177200
1993-11-01,19.687500,20.375000,18.812500,20.125000,10.097596,48116400
1993-12-01,20.125000,21.250000,19.812500,20.437500,10.254392,45539200
1994-01-01,20.500000,20.562500,19.562500,20.187500,10.169755,49548400
1994-02-01,19.937500,20.000000,19.000000,19.562500,9.854903,53993200
1994-03-01,19.625000,19.750000,17.875000,18.312500,9.225202,78254400
1994-04-01,18.000000,18.562500,17.812500,18.250000,9.232590,49855200
1994-05-01,18.375000,18.875000,17.562500,18.000000,9.106113,46699200
1994-06-01,17.937500,18.437500,14.937500,15.312500,7.746525,155468600
1994-07-01,15.375000,15.625000,14.625000,15.250000,7.753674,81487600
1994-08-01,15.250000,17.312500,15.250000,16.562500,8.420998,81088600
1994-09-01,16.500000,17.000000,16.125000,16.562500,8.420998,55443800
1994-10-01,16.625000,17.562500,16.125000,17.500000,8.945543,63909800
1994-11-01,17.500000,18.687500,17.500000,17.625000,9.009441,62916600
1994-12-01,17.625000,18.437500,17.375000,18.125000,9.265023,53896400
1995-01-01,18.125000,18.500000,16.937500,18.437500,9.472293,78187800
1995-02-01,18.625000,19.875000,18.125000,19.562500,10.050263,85075600
1995-03-01,19.750000,20.500000,18.937500,19.562500,10.050263,80687400
1995-04-01,19.437500,20.937500,19.437500,20.812500,10.742193,55436600
1995-05-01,20.750000,24.500000,20.750000,24.500000,12.645463,118435200
1995-06-01,24.312500,24.375000,22.250000,22.750000,11.742218,84367200
1995-07-01,22.750000,23.500000,21.625000,23.437500,12.149321,82367400
1995-08-01,23.312500,23.500000,22.125000,22.625000,11.728148,52795400
1995-09-01,22.625000,26.000000,22.562500,25.500000,13.218461,70765000
1995-10-01,25.437500,26.750000,25.187500,26.312500,13.698871,69788200
1995-11-01,26.312500,27.687500,26.000000,27.687500,14.414729,46234800
1995-12-01,27.562500,29.375000,26.812500,27.937500,14.544884,58821400
1996-01-01,27.562500,30.312500,27.250000,29.812500,15.575345,71476400
1996-02-01,29.687500,33.125000,29.562500,31.625000,16.522278,90903200
1996-03-01,31.750000,33.437500,30.625000,31.625000,16.522278,70326200
1996-04-01,31.750000,32.375000,29.375000,31.750000,16.637428,70867400
1996-05-01,31.937500,35.000000,31.000000,33.250000,17.423450,80757000
1996-06-01,33.000000,35.875000,32.750000,35.500000,18.602476,55885500
1996-07-01,35.750000,35.875000,30.125000,31.750000,16.694954,64033400
1996-08-01,31.625000,33.625000,28.375000,28.750000,15.117479,156043700
1996-09-01,28.375000,30.625000,28.000000,28.250000,14.854572,173817100
1996-10-01,28.500000,30.750000,28.125000,29.625000,15.640405,106918300
1996-11-01,29.875000,33.000000,29.500000,30.250000,15.970372,93981700
1996-12-01,29.750000,30.375000,28.500000,29.250000,15.442428,81162900
1997-01-01,30.000000,35.875000,28.625000,34.875000,18.483280,148516300
1997-02-01,34.625000,34.875000,31.500000,33.000000,17.489563,104815800
1997-03-01,32.750000,33.625000,30.750000,32.375000,17.158312,80031600
1997-04-01,32.500000,34.875000,31.000000,34.875000,18.548918,84301700
1997-05-01,34.500000,37.875000,34.500000,36.750000,19.546179,88870300
1997-06-01,37.625000,39.375000,35.625000,37.562500,19.978312,95284100
1997-07-01,37.562500,39.500000,34.812500,38.250000,20.411785,96625200
1997-08-01,37.812500,39.750000,34.875000,36.000000,19.211090,80888500
1997-09-01,36.000000,41.312500,36.000000,40.562500,21.645826,76705200
1997-10-01,40.062500,40.750000,33.375000,36.875000,19.742126,90252500
1997-11-01,36.875000,38.437500,35.250000,36.875000,21.450130,47502500
