Date,AAPL,MSFT
2/27/2020,68.379997,158.179993
2/28/2020,68.339996,162.009995
3/2/2020,74.702499,172.789993
3/3/2020,72.330002,164.509995
3/4/2020,75.684998,170.550003
3/5/2020,73.230003,166.270004
3/6/2020,72.2575,161.570007
3/9/2020,66.542503,150.619995
3/10/2020,71.334999,160.919998
3/11/2020,68.857498,153.630005
3/12/2020,62.057499,139.059998
3/13/2020,69.4925,158.830002
3/16/2020,60.552502,135.419998
3/17/2020,63.215,146.570007
3/18/2020,61.6675,140.399994
3/19/2020,61.195,142.710007
3/20/2020,57.310001,137.350006
3/23/2020,56.092499,135.979996
3/24/2020,61.720001,148.339996
3/25/2020,61.380001,146.919998
3/26/2020,64.610001,156.110001
3/27/2020,61.935001,149.699997
3/30/2020,63.702499,160.229996
3/31/2020,63.572498,157.710007
4/1/2020,60.227501,152.110001
4/2/2020,61.232498,155.259995
4/3/2020,60.352501,153.830002
4/6/2020,65.6175,165.270004
4/7/2020,64.857498,163.490005
4/8/2020,66.517502,165.130005
4/9/2020,66.997498,165.139999
4/13/2020,68.3125,165.509995
4/14/2020,71.762497,173.699997
4/15/2020,71.107498,171.880005
4/16/2020,71.672501,177.039993
4/17/2020,70.699997,178.600006
4/20/2020,69.232498,175.059998
4/21/2020,67.092499,167.820007
4/22/2020,69.025002,173.520004
4/23/2020,68.7575,171.419998
4/24/2020,70.7425,174.550003
4/27/2020,70.792503,174.050003
4/28/2020,69.644997,169.809998
4/29/2020,71.932503,177.429993
4/30/2020,73.449997,179.210007
5/1/2020,72.267502,174.570007
5/4/2020,73.290001,178.839996
5/5/2020,74.389999,180.759995
5/6/2020,75.157501,182.539993
5/7/2020,75.934998,183.600006
5/8/2020,77.532501,184.679993
5/11/2020,78.752502,186.740005
5/12/2020,77.852501,182.509995
5/13/2020,76.912498,179.75
5/14/2020,77.385002,180.529999
5/15/2020,76.927498,183.160004
5/18/2020,78.739998,184.910004
5/19/2020,78.285004,183.630005
5/20/2020,79.807503,185.660004
5/21/2020,79.212502,183.429993
5/22/2020,79.722504,183.509995
5/26/2020,79.182503,181.570007
5/27/2020,79.527496,181.809998
5/28/2020,79.5625,181.399994
5/29/2020,79.485001,183.25
6/1/2020,80.462502,182.830002
6/2/2020,80.834999,184.910004
6/3/2020,81.279999,185.360001
6/4/2020,80.580002,182.919998
6/5/2020,82.875,187.199997
6/8/2020,83.364998,188.360001
6/9/2020,85.997498,189.800003
6/10/2020,88.209999,196.839996
6/11/2020,83.974998,186.270004
6/12/2020,84.699997,187.740005
6/15/2020,85.747498,188.940002
6/16/2020,88.019997,193.570007
6/17/2020,87.897499,194.240005
6/18/2020,87.932503,196.320007
6/19/2020,87.43,195.149994
6/22/2020,89.717499,200.570007
6/23/2020,91.6325,201.910004
6/24/2020,90.014999,197.839996
6/25/2020,91.209999,200.339996
6/26/2020,88.407501,196.330002
6/29/2020,90.445,198.440002
6/30/2020,91.199997,203.509995
7/1/2020,91.027496,204.699997
7/2/2020,91.027496,206.259995
7/6/2020,93.462502,210.699997
7/7/2020,93.172501,208.25
7/8/2020,95.342499,212.830002
7/9/2020,95.752502,214.320007
7/10/2020,95.919998,213.669998
7/13/2020,95.477501,207.070007
7/14/2020,97.057503,208.350006
7/15/2020,97.724998,208.039993
7/16/2020,96.522499,203.919998
7/17/2020,96.327499,202.880005
7/20/2020,98.357498,211.600006
7/21/2020,97,208.75
7/22/2020,97.272499,211.75
7/23/2020,92.845001,202.539993
7/24/2020,92.614998,201.300003
7/27/2020,94.809998,203.850006
7/28/2020,93.252502,202.020004
