Date,VZ,T
2/27/2020,55.060001,35.73
2/28/2020,54.16,35.220001
3/2/2020,57.32,37.18
3/3/2020,55.700001,36.299999
3/4/2020,58.119999,38.18
3/5/2020,57.16,37.18
3/6/2020,56.869999,37.029999
3/9/2020,55.830002,34.689999
3/10/2020,56.52,35.849998
3/11/2020,54.830002,34.52
3/12/2020,51.200001,31.33
3/13/2020,54.169998,34.470001
3/16/2020,50.990002,31.809999
3/17/2020,54.310001,33.740002
3/18/2020,54.32,32.849998
3/19/2020,53.619999,31.15
3/20/2020,51.799999,28.450001
3/23/2020,50.310001,26.77
3/24/2020,49.990002,28.09
3/25/2020,49.939999,28.4
3/26/2020,53.540001,30.6
3/27/2020,52.77,29.84
3/30/2020,54.77,30.23
3/31/2020,53.73,29.15
4/1/2020,52.919998,28.049999
4/2/2020,55.25,28.76
4/3/2020,54.700001,27.459999
4/6/2020,56.700001,29.440001
4/7/2020,56.98,30.08
4/8/2020,57.799999,29.889999
4/9/2020,57.439999,30.73
4/13/2020,56.669998,30.190001
4/14/2020,58.139999,31.129999
4/15/2020,56.93,30.09
4/16/2020,57.66,30.16
4/17/2020,58.459999,31.23
4/20/2020,58.130001,30.98
4/21/2020,56.82,29.870001
4/22/2020,57.990002,29.469999
4/23/2020,57.59,29.5
4/24/2020,57.93,29.709999
4/27/2020,57.810001,30.540001
4/28/2020,57.830002,30.65
4/29/2020,58.119999,31.43
4/30/2020,57.450001,30.469999
5/1/2020,56.830002,29.9
5/4/2020,56.240002,29.6
5/5/2020,56.509998,29.74
5/6/2020,55.639999,28.790001
5/7/2020,55.580002,28.889999
5/8/2020,57,29.790001
5/11/2020,56.400002,29.379999
5/12/2020,55.459999,28.889999
5/13/2020,54.849998,28.09
5/14/2020,54.91,28.58
5/15/2020,54.709999,28.309999
5/18/2020,55.720001,29.450001
5/19/2020,54.380001,28.959999
5/20/2020,54.259998,29.59
5/21/2020,53.970001,29.77
5/22/2020,54.099998,29.879999
5/26/2020,54.299999,30.82
5/27/2020,55.139999,31.85
5/28/2020,55.720001,31.059999
5/29/2020,57.380001,30.860001
6/1/2020,55.779999,30.93
6/2/2020,56.400002,30.99
6/3/2020,56.830002,31.51
6/4/2020,57.220001,31.799999
6/5/2020,57.740002,32.77
6/8/2020,58.09,33.23
6/9/2020,57.860001,32.619999
6/10/2020,58.049999,32.139999
6/11/2020,56.450001,30.17
6/12/2020,56.529999,30.5
6/15/2020,56.150002,30.5
6/16/2020,56.919998,30.780001
6/17/2020,56.650002,30.26
6/18/2020,56.889999,30.35
6/19/2020,56.16,30.309999
6/22/2020,55.66,30.110001
6/23/2020,54.939999,30.25
6/24/2020,53.93,29.42
6/25/2020,54.279999,29.719999
6/26/2020,53.16,29.08
6/29/2020,54.689999,29.91
6/30/2020,55.130001,30.23
7/1/2020,54.669998,29.9
7/2/2020,54.790001,30.08
7/6/2020,55.240002,30.49
7/7/2020,55.040001,30.32
7/8/2020,55.380001,30.459999
7/9/2020,53.939999,29.540001
7/10/2020,54.490002,30.129999
7/13/2020,54.450001,29.76
7/14/2020,55.439999,29.959999
7/15/2020,55.060001,30.01
7/16/2020,55.779999,30.389999
7/17/2020,56.299999,30.25
7/20/2020,55.869999,29.85
7/21/2020,55.84,30.25
7/22/2020,55.75,30.16
7/23/2020,55.849998,29.9
7/24/2020,56.849998,29.57
7/27/2020,56.869999,29.290001
7/28/2020,57.48,29.690001
7/29/2020,57.450001,29.559999
7/30/2020,57.299999,29.57
7/31/2020,57.48,29.58
8/3/2020,57.240002,29.620001
8/4/2020,57.91,30.01
8/5/2020,57.540001,29.85
8/6/2020,57.830002,29.84
8/7/2020,58.529999,30.02
8/10/2020,58.990002,30.200001
8/11/2020,58.509998,30.200001
8/12/2020,58.599998,30.18
8/13/2020,58.52,29.91
8/14/2020,58.790001,30.01
8/17/2020,58.779999,29.85
8/18/2020,59.18,29.790001
8/19/2020,59.049999,29.73
8/20/2020,58.959999,29.67
8/21/2020,58.990002,29.690001
8/24/2020,59.57,30.030001
8/25/2020,59.419998,29.9
8/26/2020,59.459999,29.99
8/27/2020,59.43,29.9
8/28/2020,59.259998,30.040001
8/31/2020,59.27,29.809999
9/1/2020,59.16,29.469999
9/2/2020,60.529999,29.700001
9/3/2020,60.610001,29.59
9/4/2020,60.48,29.42
9/8/2020,59.959999,29.51
9/9/2020,60.040001,29.370001
9/10/2020,59.529999,28.91
9/11/2020,59.790001,29
9/14/2020,60.32,29.139999
9/15/2020,60.599998,29.120001
9/16/2020,60.369999,29.24
9/17/2020,60.59,29.07
9/18/2020,60.349998,28.93
9/21/2020,59.610001,28.629999
9/22/2020,59.82,28.51
9/23/2020,58.91,27.870001
9/24/2020,59.189999,28.040001
9/25/2020,59.389999,28.040001
9/28/2020,59.360001,28.379999
9/29/2020,59.240002,28.299999
9/30/2020,59.490002,28.51
10/1/2020,59.450001,28.49
10/2/2020,59.240002,28.68
10/5/2020,59.66,28.67
10/6/2020,59.459999,28.709999
10/7/2020,59.610001,28.799999
10/8/2020,59.189999,28.610001
10/9/2020,59.330002,28.32
10/12/2020,59.549999,28.129999
10/13/2020,59.360001,27.75
10/14/2020,58.43,27.49
10/15/2020,58.16,27.450001
10/16/2020,58.049999,27.33
10/19/2020,57.299999,26.879999
10/20/2020,57.25,26.76
10/21/2020,56.75,26.719999
10/22/2020,57.330002,28.280001
10/23/2020,57.959999,27.82
10/26/2020,57.810001,27.379999
10/27/2020,57.380001,26.92
10/28/2020,56.310001,26.5
