Date,KO,PEP
1/1/1985,1.25,2.402778
2/1/1985,1.322917,2.666667
3/1/1985,1.458333,3.034722
4/1/1985,1.427083,3
5/1/1985,1.414063,3.236111
6/1/1985,1.445313,3.340278
7/1/1985,1.505208,3.180556
8/1/1985,1.492188,3.305556
9/1/1985,1.453125,3.326389
10/1/1985,1.492188,3.493056
11/1/1985,1.734375,3.798611
12/1/1985,1.760417,4.041667
1/1/1986,1.747396,3.944444
2/1/1986,2.005208,4.291667
3/1/1986,2.192708,4.763889
4/1/1986,2.322917,4.902778
5/1/1986,2.416667,5.645833
6/1/1986,2.614583,5.625
7/1/1986,2.445313,5.104167
8/1/1986,2.367188,5.3125
9/1/1986,2.117188,4.416667
10/1/1986,2.289063,4.583333
11/1/1986,2.28125,4.604167
12/1/1986,2.359375,4.333333
1/1/1987,2.664063,5.1875
2/1/1987,2.804688,5.541667
3/1/1987,2.859375,5.708333
4/1/1987,2.664063,5.333333
5/1/1987,2.679688,5.833333
6/1/1987,2.78125,6
7/1/1987,2.976563,6.5
8/1/1987,3.164063,6.5
9/1/1987,3.023438,6.625
10/1/1987,2.578125,5.645833
11/1/1987,2.3125,5.166667
12/1/1987,2.382813,5.5625
1/1/1988,2.351563,5.583333
2/1/1988,2.335938,5.916667
3/1/1988,2.390625,5.833333
4/1/1988,2.390625,5.791667
5/1/1988,2.375,6.041667
6/1/1988,2.4375,6.208333
7/1/1988,2.398438,6.020833
8/1/1988,2.5,5.979167
9/1/1988,2.734375,6.541667
10/1/1988,2.695313,6.916667
11/1/1988,2.710938,6.8125
12/1/1988,2.789063,6.583333
1/1/1989,2.921875,6.791667
2/1/1989,2.984375,6.666667
3/1/1989,3.203125,7.416667
4/1/1989,3.390625,7.9375
5/1/1989,3.609375,9.020833
6/1/1989,3.523438,8.875
7/1/1989,4.25,10.354167
8/1/1989,4.15625,9.833333
9/1/1989,4.1875,9.8125
10/1/1989,4.523438,10.333333
11/1/1989,4.828125,10.583333
12/1/1989,4.828125,10.666667
1/1/1990,4.304688,9.583333
2/1/1990,4.40625,9.75
3/1/1990,4.671875,10.4375
