Date,CSCO,ADBE,ORCL
3/1/1990,0.081597,2.375,0.466049
4/1/1990,0.082465,2.390625,0.391975
5/1/1990,0.085938,2.226563,0.487654
6/1/1990,0.092014,2.296875,0.570988
7/1/1990,0.088542,2.195313,0.416667
8/1/1990,0.085938,1.5625,0.287037
9/1/1990,0.078125,1.1875,0.160494
10/1/1990,0.102431,1.5,0.132716
11/1/1990,0.137153,1.578125,0.194444
12/1/1990,0.155816,1.820313,0.194444
1/1/1991,0.203125,2.375,0.222222
2/1/1991,0.194444,3.007813,0.222222
3/1/1991,0.169271,3.375,0.222222
4/1/1991,0.206597,3.234375,0.228395
5/1/1991,0.223958,3.15625,0.185185
6/1/1991,0.211806,2.703125,0.209877
7/1/1991,0.272569,3.34375,0.225309
8/1/1991,0.315104,3.179688,0.277778
9/1/1991,0.284722,3.203125,0.330247
10/1/1991,0.338542,3.3125,0.388889
11/1/1991,0.34375,3,0.333333
12/1/1991,0.460069,4.09375,0.358025
1/1/1992,0.521701,3.835938,0.45679
2/1/1992,0.565972,3.53125,0.493827
3/1/1992,0.548611,3.203125,0.333333
4/1/1992,0.506944,2.765625,0.342593
5/1/1992,0.635417,2.84375,0.367284
6/1/1992,0.652778,2.84375,0.376543
7/1/1992,0.741319,2.375,0.459877
8/1/1992,0.651042,2.03125,0.432099
9/1/1992,0.734375,1.757813,0.493827
10/1/1992,0.833333,2.226563,0.549383
11/1/1992,1.038194,2.125,0.549383
12/1/1992,1.092014,1.96875,0.700617
1/1/1993,1.229167,2.59375,0.802469
2/1/1993,1.21875,2.789063,0.808642
3/1/1993,1.243056,2.6875,0.907407
4/1/1993,1.145833,3.578125,0.87963
5/1/1993,1.5,4.125,1.030864
6/1/1993,1.520833,3.859375,1.216049
7/1/1993,1.440972,3.09375,1.243827
8/1/1993,1.326389,2.65625,1.271605
9/1/1993,1.388889,2.28125,1.515432
10/1/1993,1.423611,2.71875,1.462963
11/1/1993,1.5625,2.890625,1.561728
12/1/1993,1.795139,2.78125,1.419753
1/1/1994,2.013889,3.78125,1.58642
2/1/1994,2.048611,3.65625,1.62963
3/1/1994,1.902778,3.03125,1.58642
4/1/1994,1.684028,3.34375,1.475309
5/1/1994,1.375,3.59375,1.691358
6/1/1994,1.298611,3.40625,1.851852
7/1/1994,1.166667,3.875,1.888889
8/1/1994,1.378472,3.96875,2.108025
9/1/1994,1.520833,4.0625,2.123457
10/1/1994,1.673611,4.5,2.271605
11/1/1994,1.791667,4.125,2.037037
12/1/1994,1.951389,3.71875,2.179012
1/1/1995,1.854167,3.617188,2.104938
2/1/1995,1.875,4.46875,2.324074
3/1/1995,2.118056,6.1875,2.314815
4/1/1995,2.215278,7.28125,2.259259
5/1/1995,2.430556,6.5,2.574074
6/1/1995,2.809028,7.25,2.861111
7/1/1995,3.097222,7.71875,3.101852
8/1/1995,3.645833,6.375,2.972222
9/1/1995,3.833333,6.46875,2.842593
10/1/1995,4.305556,7.125,3.231481
11/1/1995,4.673611,8.453125,3.361111
12/1/1995,4.145833,7.75,3.138889
1/1/1996,4.625,4.25,3.537037
2/1/1996,5.277778,4.1875,3.851852
3/1/1996,5.152778,4.03125,3.490741
4/1/1996,5.763889,5.375,3.75
5/1/1996,6.083333,4.640625,3.680556
6/1/1996,6.291667,4.484375,4.381944
7/1/1996,5.75,3.796875,4.347222
8/1/1996,5.861111,4.359375,3.916667
9/1/1996,6.895833,4.65625,4.729167
10/1/1996,6.875,4.328125,4.701389
11/1/1996,7.541667,4.9375,5.444444
12/1/1996,7.069444,4.671875,4.638889
1/1/1997,7.75,4.734375,4.319444
2/1/1997,6.180556,4.5625,4.361111
3/1/1997,5.347222,5.015625,4.284722
4/1/1997,5.75,4.890625,4.416667
5/1/1997,7.527778,5.578125,5.180556
6/1/1997,7.458333,4.382813,5.597222
7/1/1997,8.840278,4.671875,6.048611
8/1/1997,8.375,4.921875,6.354167
9/1/1997,8.118056,6.296875,6.072917
10/1/1997,9.114583,5.96875,5.963542
11/1/1997,9.583333,5.25,5.552083
12/1/1997,9.291667,5.15625,3.71875
1/1/1998,10.510417,4.8125,3.875
2/1/1998,10.979167,5.523438,4.104167
3/1/1998,11.395833,5.648438,5.260417
4/1/1998,12.208333,6.257813,4.3125
5/1/1998,12.604167,4.992188,3.9375
6/1/1998,15.34375,5.304688,4.09375
7/1/1998,15.958333,4.039063,4.416667
8/1/1998,13.645833,3.28125,3.322917
9/1/1998,15.453125,4.335938,4.854167
10/1/1998,15.75,4.640625,4.927083
11/1/1998,18.84375,5.59375,5.708333
12/1/1998,23.203125,5.84375,7.1875
1/1/1999,27.890625,5.96875,9.229167
2/1/1999,24.453125,5.03125,9.3125
3/1/1999,27.390625,7.09375,6.59375
4/1/1999,28.515625,7.921875,6.765625
5/1/1999,27.25,9.265625,6.203125
6/1/1999,32.21875,10.269531,9.28125
7/1/1999,31.0625,10.71875,9.515625
8/1/1999,33.90625,12.453125,9.125
9/1/1999,34.28125,14.1875,11.375
10/1/1999,37,17.484375,11.890625
11/1/1999,44.59375,17.171875,16.953125
12/1/1999,53.5625,16.8125,28.015625
1/1/2000,54.75,13.765625,24.976563
2/1/2000,66.09375,25.5,37.125
3/1/2000,77.3125,27.828125,39.03125
4/1/2000,69.328125,30.234375,39.96875
5/1/2000,56.9375,28.140625,35.9375
6/1/2000,63.5625,32.5,42.03125
7/1/2000,65.4375,28.625,37.59375
8/1/2000,68.625,32.5,45.46875
9/1/2000,55.25,38.8125,39.375
10/1/2000,53.875,38.03125,33
11/1/2000,47.875,31.6875,26.5
12/1/2000,38.25,29.09375,29.0625
1/1/2001,37.4375,21.84375,29.125
2/1/2001,23.6875,14.53125,19
3/1/2001,15.8125,17.485001,14.63
4/1/2001,16.98,22.459999,16.16
5/1/2001,19.26,19.885,15.3
6/1/2001,18.200001,23.5,19
7/1/2001,19.219999,18.745001,18.08
8/1/2001,16.33,16.805,12.21
9/1/2001,12.18,11.99,12.58
10/1/2001,16.92,13.2,13.56
11/1/2001,20.440001,16.040001,14.03
12/1/2001,18.110001,15.525,13.81
1/1/2002,19.799999,16.85,17.26
2/1/2002,14.27,18.190001,16.620001
3/1/2002,16.93,20.145,12.8
4/1/2002,14.65,19.98,10.04
5/1/2002,15.78,18.049999,7.92
6/1/2002,13.95,14.25,9.47
7/1/2002,13.19,11.98,10.01
8/1/2002,13.82,10.05,9.59
9/1/2002,10.48,9.55,7.86
10/1/2002,11.18,11.82,10.19
11/1/2002,14.92,14.765,12.15
12/1/2002,13.1,12.4,10.8
1/1/2003,13.37,13.21,12.03
2/1/2003,13.98,13.75,11.96
3/1/2003,12.98,15.415,10.85
4/1/2003,15,17.264999,11.88
5/1/2003,16.41,17.66,13.01
6/1/2003,16.790001,16.035,12.01
7/1/2003,19.49,16.365,11.99
8/1/2003,19.139999,19.415001,12.83
9/1/2003,19.59,19.695,11.25
10/1/2003,20.93,21.879999,11.97
11/1/2003,22.700001,20.655001,12.02
12/1/2003,24.23,19.540001,13.23
1/1/2004,25.709999,19.15,13.86
2/1/2004,23.16,18.625,12.87
3/1/2004,23.57,19.65,12
4/1/2004,20.91,20.75,11.25
5/1/2004,22.370001,22.315001,11.4
6/1/2004,23.700001,23.25,11.93
7/1/2004,20.92,21.09,10.51
