Date,JPM,BAC,WFC,C
1/1/1985,12.5,4.6875,1.09375,21.113125
2/1/1985,13.125,4.46875,1.083333,21.268749
3/1/1985,12.5,4.59375,1.098958,21.995001
4/1/1985,12.625,4.96875,1.072917,22.046875
5/1/1985,13.791667,5.1875,1.072917,23.810625
6/1/1985,13.75,5.4375,1.135417,24.692499
7/1/1985,13.625,5.15625,1.177083,23.862499
8/1/1985,13.333333,4.71875,1.041667,24.38125
9/1/1985,11.166667,4.390625,1.005208,22.150625
10/1/1985,12.958333,4.890625,1.041667,23.24
11/1/1985,13.833333,5.203125,1.15625,26.559999
12/1/1985,15.125,5.65625,1.302083,24.9
1/1/1986,14.75,5.40625,1.276042,27.338125
2/1/1986,16,6.421875,1.354167,31.955
3/1/1986,18.208332,6.1875,1.536458,31.540001
4/1/1986,17.75,6.6875,1.567708,29.049999
5/1/1986,17.791668,6.9375,1.572917,30.450624
6/1/1986,17.083332,6.75,1.567708,31.540001
7/1/1986,14.625,5.953125,1.598958,33.407501
8/1/1986,16.25,6.375,1.645833,36.623749
9/1/1986,14.458333,5.65625,1.520833,33.874374
10/1/1986,14.625,5.53125,1.526042,36.364376
11/1/1986,14.833333,5.4375,1.619792,35.223125
12/1/1986,14.083333,5.375,1.515625,34.911877
1/1/1987,15.625,6,1.739583,39.424999
2/1/1987,15.5,6.21875,1.6875,42.744999
3/1/1987,14.583333,6.3125,1.645833,40.151249
4/1/1987,14.166667,5.90625,1.5625,35.793751
5/1/1987,14,5.875,1.661458,33.200001
6/1/1987,14,6.46875,1.770833,34.548752
7/1/1987,13.25,6.21875,1.755208,37.9725
8/1/1987,13.458333,6.8125,1.895833,38.595001
9/1/1987,12.708333,6.09375,1.942708,37.349998
10/1/1987,9,4.59375,1.5,23.966249
11/1/1987,8.583333,4.4375,1.489583,21.165001
12/1/1987,7.125,4.3125,1.541667,20.02375
1/1/1988,7.166667,5.21875,1.739583,23.24
2/1/1988,8.333333,5.5625,1.854167,25.83375
3/1/1988,7.125,4.9375,1.760417,24.692499
4/1/1988,8.208333,5.15625,1.734375,20.5425
5/1/1988,9.625,5.4375,1.760417,20.231251
6/1/1988,10.208333,6.0625,1.979167,22.6175
7/1/1988,10.458333,5.84375,2.015625,20.438749
8/1/1988,10.666667,6.6875,2.117188,24.07
9/1/1988,10.666667,7.03125,2.109375,24.07
10/1/1988,10.625,7.125,2.007813,24.07
11/1/1988,11.125,6.71875,2.023438,23.758751
12/1/1988,10.333333,6.8125,2.007813,18.0525
1/1/1989,10.833333,7.5,2.25,19.504999
2/1/1989,10.416667,8.28125,2.210938,18.26
3/1/1989,12.041667,8.875,2.296875,17.94875
4/1/1989,12,9.09375,2.375,17.32625
5/1/1989,11.791667,11.71875,2.421875,18.674999
6/1/1989,11.958333,11.3125,2.632813,18.467501
7/1/1989,12.958333,13.375,2.65625,22.41
8/1/1989,12.708333,13.03125,2.78125,22.6175
9/1/1989,13.625,13.125,2.875,23.13625
10/1/1989,11.208333,11.8125,2.71875,23.862499
11/1/1989,10.583333,11.71875,2.703125,24.17375
12/1/1989,9.958333,11.5625,2.8125,23.655001
1/1/1990,8.583333,10.5,2.59375,21.68375
2/1/1990,8.541667,11.125,2.4375,22.30625
3/1/1990,7.791667,9.6875,2.46875,22.825001
4/1/1990,7.791667,9.5,2.25,23.862499
5/1/1990,9.125,9.6875,2.796875,27.078751
6/1/1990,8.5,9.375,2.71875,28.32375
7/1/1990,7.666667,8.96875,2.484375,26.7675
8/1/1990,7.208333,8.15625,2.21875,23.13625
9/1/1990,5.166667,5.34375,1.859375,17.014999
10/1/1990,3.375,4.3125,1.890625,15.04375
11/1/1990,3.791667,6,2.296875,18.778749
12/1/1990,3.583333,5.71875,2.59375,18.98625
1/1/1991,4.375,7.03125,2.78125,21.891251
2/1/1991,5.5,7.3125,3.140625,25.522499
3/1/1991,5.791667,8.65625,3.21875,25.315001
4/1/1991,6.833333,9.21875,3.296875,24.38125
5/1/1991,7.125,10.53125,3.625,26.248751
6/1/1991,7.125,8.9375,3.4375,23.032499
7/1/1991,8.541667,8.6875,3.875,26.248751
8/1/1991,8.833333,9.65625,3.984375,27.908751
9/1/1991,8.458333,8.90625,4.1875,29.465
10/1/1991,8.25,9.34375,4.21875,30.19125
11/1/1991,7.041667,8.59375,3.75,27.078751
12/1/1991,7.083333,10.15625,4.5625,32.681252
1/1/1992,9.333333,10.96875,4.3125,34.445
2/1/1992,11.208333,11.875,4.703125,34.445
3/1/1992,10.916667,11.375,4.546875,33.407501
4/1/1992,11.708333,11.9375,4.84375,33.71875
5/1/1992,12.166667,11.625,4.671875,31.85125
6/1/1992,12.375,11.90625,4.75,31.85125
7/1/1992,11.625,11.5,4.90625,36.52
8/1/1992,10.833333,10.71875,4.578125,32.9925
9/1/1992,10.875,11.09375,4.875,36.3125
10/1/1992,11.458333,11.5625,5.25,35.482498
11/1/1992,12.5,12.59375,5.296875,39.6325
12/1/1992,12.875,12.84375,5.390625,40.151249
1/1/1993,13.541667,13.4375,5.625,44.09375
2/1/1993,13.5,13.375,5.8125,45.546249
3/1/1993,13.458333,13.65625,6.234375,57.425625
4/1/1993,12.75,12.40625,6.421875,57.27
5/1/1993,12.791667,11.78125,6.203125,57.736874
6/1/1993,13.625,12.40625,6.84375,65.518127
7/1/1993,13.75,12.59375,6.5625,67.230003
8/1/1993,13.541667,12.875,6.625,73.662498
9/1/1993,15,12.875,6.90625,79.264999
10/1/1993,13.375,11.65625,6.4375,73.247498
11/1/1993,12.833333,11.78125,5.71875,66.400002
12/1/1993,13.375,12.25,6.09375,64.532501
1/1/1994,13.166667,12.6875,6.59375,69.927498
2/1/1994,12.416667,12.21875,5.875,61.627499
3/1/1994,12.125,11.4375,5.96875,58.514999
4/1/1994,11.583333,13.0625,6.4375,57.685001
5/1/1994,12.791667,13.84375,6.6875,54.572498
6/1/1994,12.833333,12.84375,6.53125,53.535
7/1/1994,12.791667,13.9375,6.53125,54.987499
8/1/1994,12.916667,13.9375,6.65625,61.419998
9/1/1994,11.666667,12.25,6.1875,54.572498
10/1/1994,12.666667,12.375,6.125,57.685001
11/1/1994,12.125,11.21875,5.4375,54.365002
12/1/1994,11.958333,11.28125,5.84375,53.7425
1/1/1995,13,11.65625,6,61.212502
2/1/1995,13.375,12.46875,6.4375,64.532501
3/1/1995,12.583333,12.6875,6.34375,64.1175
4/1/1995,13.916667,12.5,6.625,68.682503
5/1/1995,15.375,14.15625,7.09375,69.927498
6/1/1995,15.75,13.40625,7.1875,72.625
7/1/1995,17.208332,14.03125,7.0625,78.642502
8/1/1995,19.416668,15.34375,7.53125,79.68
9/1/1995,20.291668,16.8125,8.125,88.1875
10/1/1995,18.958332,16.4375,7.375,84.166664
11/1/1995,20,17.875,8.25,99.166664
12/1/1995,19.583332,17.40625,8.25,104.375
1/1/1996,22.333332,17.46875,8.59375,109.583336
2/1/1996,23.875,18.4375,9.125,111.458336
3/1/1996,23.5,20.03125,9.1875,110
4/1/1996,23,19.96875,9.03125,102.5
5/1/1996,23.333332,20.28125,8.71875,103.75
6/1/1996,23.541668,20.65625,8.71875,114.0625
7/1/1996,23.166668,21.5,8.875,105.625
8/1/1996,24.791668,21.28125,9.40625,108.4375
9/1/1996,26.708332,21.71875,10.1875,122.8125
10/1/1996,28.583332,23.5625,10.96875,135.625
11/1/1996,31.5,25.90625,11.6875,150
12/1/1996,29.791668,24.4375,10.875,151.25
1/1/1997,30.833332,27.03125,11.90625,174.583328
2/1/1997,33.375,30,12.4375,178.75
3/1/1997,31.291668,27.75,11.5625,160
4/1/1997,30.708332,30.1875,12.46875,185
5/1/1997,31.5,29.4375,13.375,183.333328
6/1/1997,32.354168,32.28125,14.0625,210.208328
7/1/1997,37.854168,35.59375,15.765625,239.791672
8/1/1997,37.0625,29.875,14.359375,211.666672
9/1/1997,39.333332,30.9375,15.3125,227.708328
10/1/1997,38.479168,29.90625,16.03125,233.333328
11/1/1997,36.25,30.03125,18.71875,254.375
12/1/1997,36.5,30.40625,19.375,269.375
1/1/1998,35.729168,29.9375,18.21875,247.8125
2/1/1998,41.354168,34.25,20.5,278.125
3/1/1998,44.958332,36.46875,20.78125,300
4/1/1998,46.1875,38,19.9375,305.9375
5/1/1998,45.3125,37.75,19.4375,306.25
6/1/1998,50.333332,38.34375,18.75,303.125
7/1/1998,50.416668,39.875,17.96875,336.25
8/1/1998,35,28.75,14.875,221.875
9/1/1998,28.75,26.75,18,187.5
10/1/1998,37.875,28.75,18.59375,235
11/1/1998,42.291668,32.59375,18.0625,251.25
12/1/1998,47.333332,30.0625,19.96875,248.4375
1/1/1999,51.291668,33.4375,17.5,280.3125
2/1/1999,53.083332,32.65625,18.375,293.75
3/1/1999,54.25,35.3125,17.53125,319.375
4/1/1999,55,35.78125,21.59375,374.375
5/1/1999,48.25,32.34375,20,331.25
6/1/1999,57.666668,36.65625,21.375,356.25
7/1/1999,51.375,33.1875,19.5,334.21875
8/1/1999,55.791668,30.25,19.90625,333.28125
9/1/1999,50.25,27.84375,19.8125,330
10/1/1999,58.166668,32.21875,23.9375,406.875
11/1/1999,51.5,29.304688,23.25,404.0625
12/1/1999,51.791668,25.09375,20.21875,417.65625
1/1/2000,53.791668,24.21875,20,427.5
2/1/2000,53.083332,23,16.53125,388.125
3/1/2000,58.125,26.21875,20.375,449.0625
4/1/2000,48.083332,24.5,20.53125,442.5
5/1/2000,49.791668,27.71875,22.625,466.40625
6/1/2000,46.0625,21.5,19.375,451.875
7/1/2000,49.8125,23.6875,20.75,528.75
8/1/2000,55.875,26.789063,21.601563,583.90625
9/1/2000,46.1875,26.1875,22.96875,540.625
10/1/2000,45.5,24.03125,23.15625,526.25
11/1/2000,36.875,19.96875,23.71875,498.125
12/1/2000,45.4375,22.9375,27.84375,510.625
1/1/2001,54.990002,26.91,25.754999,559.700012
2/1/2001,46.66,25.35,24.82,491.799988
3/1/2001,44.900002,27.375,24.735001,449.799988
4/1/2001,47.98,28,23.485001,491.5
5/1/2001,49.150002,29.625,23.540001,512.5
6/1/2001,44.470001,30.014999,23.215,528.400024
7/1/2001,43.299999,31.809999,23.030001,502.100006
8/1/2001,39.400002,30.75,23.004999,458
9/1/2001,34.150002,29.200001,22.225,405
10/1/2001,35.360001,29.495001,19.75,455.200012
11/1/2001,37.720001,30.690001,21.4,479
12/1/2001,36.349998,31.475,21.735001,504.799988
1/1/2002,34.049999,31.514999,23.195,474
2/1/2002,29.25,31.975,23.450001,452.5
3/1/2002,35.650002,34.009998,24.700001,495.200012
4/1/2002,35.099998,36.240002,25.575001,433
5/1/2002,35.950001,37.904999,26.200001,431.799988
6/1/2002,33.919998,35.18,25.030001,387.5
7/1/2002,24.959999,33.25,25.43,335.399994
8/1/2002,26.4,35.040001,26.094999,327.5
9/1/2002,18.99,31.9,24.08,296.5
10/1/2002,20.75,34.900002,25.235001,369.5
11/1/2002,25.17,35.040001,23.105,388.799988
12/1/2002,24,34.785,23.434999,351.899994
1/1/2003,23.34,35.025002,23.684999,343.5
2/1/2003,22.68,34.619999,22.674999,333.399994
3/1/2003,23.709999,33.419998,22.495001,344.5
4/1/2003,29.35,37.025002,24.129999,392.5
5/1/2003,32.860001,37.099998,24.15,410.200012
6/1/2003,34.18,39.514999,25.200001,428
7/1/2003,35.049999,41.285,25.264999,448
8/1/2003,34.220001,39.625,25.07,433.5
9/1/2003,34.330002,39.02,25.75,455.100006
10/1/2003,35.900002,37.865002,28.16,474
11/1/2003,35.400002,37.715,28.665001,470.299988
12/1/2003,36.73,40.215,29.445,485.399994
1/1/2004,38.889999,40.73,28.705,494.799988
2/1/2004,41.02,40.959999,28.674999,502.600006
3/1/2004,41.950001,40.490002,28.334999,517
4/1/2004,37.599998,40.244999,28.23,480.899994
5/1/2004,36.84,41.564999,29.4,464.299988
6/1/2004,38.77,42.310001,28.615,465
7/1/2004,37.330002,42.505001,28.705,440.899994
8/1/2004,39.580002,44.98,29.375,465.799988
9/1/2004,39.73,43.330002,29.815001,441.200012
10/1/2004,38.599998,44.790001,29.860001,443.700012
11/1/2004,37.650002,46.27,30.885,447.5
12/1/2004,39.009998,46.990002,31.075001,481.799988
1/1/2005,37.330002,46.369999,30.65,490.5
2/1/2005,36.549999,46.650002,29.690001,477.200012
3/1/2005,34.599998,44.099998,29.9,449.399994
4/1/2005,35.490002,45.040001,29.969999,469.600006
5/1/2005,35.75,46.32,30.205,471.100006
6/1/2005,35.32,45.610001,30.790001,462.299988
7/1/2005,35.139999,43.599998,30.67,435
8/1/2005,33.889999,43.029999,29.809999,437.700012
9/1/2005,33.93,42.099998,29.285,455.200012
10/1/2005,36.619999,43.740002,30.1,457.799988
11/1/2005,38.25,45.889999,31.424999,485.5
12/1/2005,39.689999,46.150002,31.415001,485.299988
1/1/2006,39.75,44.23,31.18,465.799988
2/1/2006,41.139999,45.849998,32.099998,463.700012
3/1/2006,41.639999,45.540001,31.934999,472.299988
4/1/2006,45.380001,49.919998,34.345001,499.5
5/1/2006,42.639999,48.400002,33.185001,493
6/1/2006,42,48.099998,33.540001,482.5
7/1/2006,45.619999,51.529999,36.169998,483.100006
8/1/2006,45.66,51.470001,34.75,493.5
9/1/2006,46.959999,53.57,36.18,496.700012
10/1/2006,47.439999,53.869999,36.290001,501.600006
11/1/2006,46.279999,53.849998,35.240002,495.899994
12/1/2006,48.299999,53.389999,35.560001,557
1/1/2007,50.93,52.580002,35.919998,551.299988
2/1/2007,49.389999,50.830002,34.700001,503.700012
3/1/2007,48.380001,51.02,34.43,513.400024
4/1/2007,52.099998,50.900002,35.889999,536.200012
5/1/2007,51.830002,50.709999,36.09,544.900024
6/1/2007,48.450001,48.889999,35.169998,512.900024
7/1/2007,44.009998,47.419998,33.77,465.700012
8/1/2007,44.52,50.68,36.540001,468.799988
9/1/2007,45.82,50.27,35.619999,466.700012
10/1/2007,47,48.279999,34.009998,419
11/1/2007,45.619999,46.130001,32.43,333
12/1/2007,43.650002,41.259998,30.190001,294.399994
1/1/2008,47.400002,44.150002,34.080002,281.700012
2/1/2008,40.650002,39.740002,29.23,237.100006
3/1/2008,42.950001,37.91,29.1,214.199997
4/1/2008,47.650002,37.540001,29.75,252.699997
5/1/2008,43,34.009998,27.57,218.899994
6/1/2008,34.310001,23.870001,23.75,167.600006
7/1/2008,40.630001,32.900002,30.27,186.899994
8/1/2008,38.490002,31.139999,30.27,189.899994
9/1/2008,46.700001,35,37.529999,205.100006
10/1/2008,41.25,24.17,34.049999,136.5
11/1/2008,31.66,16.25,28.889999,82.900002
12/1/2008,31.530001,14.08,29.48,67.099998
1/1/2009,25.51,6.58,18.9,35.5
2/1/2009,22.85,3.95,12.1,15
3/1/2009,26.58,6.82,14.24,25.299999
4/1/2009,33,8.93,20.01,30.5
5/1/2009,36.900002,11.27,25.5,37.200001
6/1/2009,34.110001,13.2,24.26,29.700001
7/1/2009,38.650002,14.79,24.459999,31.700001
8/1/2009,43.459999,17.59,27.52,50
9/1/2009,43.82,16.92,28.18,48.400002
10/1/2009,41.77,14.58,27.52,40.900002
11/1/2009,42.490002,15.85,28.040001,41.099998
12/1/2009,41.669998,15.06,26.99,33.099998
1/1/2010,38.939999,15.18,28.43,33.200001
2/1/2010,41.970001,16.66,27.34,34
3/1/2010,44.75,17.85,31.120001,40.5
4/1/2010,42.580002,17.83,33.110001,43.700001
5/1/2010,39.580002,15.74,28.690001,39.599998
6/1/2010,36.610001,14.37,25.6,37.599998
7/1/2010,40.279999,14.04,27.73,41
8/1/2010,36.360001,12.46,23.549999,37.099998
9/1/2010,38.060001,13.1,25.120001,39.099998
10/1/2010,37.630001,11.45,26.059999,41.700001
11/1/2010,37.400002,10.95,27.209999,42
12/1/2010,42.419998,13.34,30.99,47.299999
1/1/2011,44.939999,13.73,32.419998,48.200001
2/1/2011,46.689999,14.29,32.259998,46.799999
3/1/2011,46.099998,13.33,31.709999,44.200001
4/1/2011,45.630001,12.28,29.110001,45.900002
5/1/2011,43.240002,11.75,28.370001,41.150002
6/1/2011,40.939999,10.96,28.059999,41.639999
7/1/2011,40.450001,9.71,27.940001,38.34
8/1/2011,37.560001,8.17,26.1,31.049999
9/1/2011,30.120001,6.12,24.120001,25.620001
10/1/2011,34.759998,6.83,25.91,31.59
11/1/2011,30.969999,5.44,25.860001,27.48
12/1/2011,33.25,5.56,27.559999,26.309999
1/1/2012,37.299999,7.13,29.209999,30.719999
2/1/2012,39.240002,7.97,31.290001,33.32
3/1/2012,45.98,9.57,34.139999,36.549999
4/1/2012,42.98,8.11,33.419998,33.040001
5/1/2012,33.150002,7.35,32.049999,26.51
6/1/2012,35.73,8.18,33.439999,27.41
