Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.164337,1.329167,1.118745,1.325660,0.547206,224666078
1985-02-01,1.318646,1.399308,1.290590,1.343196,0.558595,194109668
1985-03-01,1.343196,1.490491,1.339689,1.486984,0.618392,187522912
1985-04-01,1.490491,1.515040,1.388787,1.430872,0.595057,125697234
1985-05-01,1.427365,1.525562,1.402815,1.518548,0.635757,101927180
1985-06-01,1.529069,1.637787,1.518548,1.609730,0.673931,159557717
1985-07-01,1.595702,1.683378,1.501012,1.557125,0.651908,152461274
1985-08-01,1.585181,1.648308,1.511533,1.623759,0.684005,121462894
1985-09-01,1.623759,1.623759,1.508026,1.592195,0.670709,83400148
1985-10-01,1.585181,1.637787,1.476463,1.634280,0.688436,116030960
1985-11-01,1.627266,1.778068,1.627266,1.746505,0.740468,117196475
1985-12-01,1.750012,2.020054,1.700913,1.918350,0.813324,173176761
1986-01-01,1.911336,2.002519,1.778068,1.928871,0.817785,175971140
1986-02-01,1.932378,1.988491,1.851716,1.981477,0.844500,187048866
1986-03-01,1.981477,2.433884,1.974462,2.419856,1.031336,185152678
1986-04-01,2.412842,2.577673,2.230476,2.419856,1.031336,166778909
1986-05-01,2.398814,2.619757,2.346209,2.595208,1.111722,121637543
1986-06-01,2.581180,3.086194,2.497011,3.016053,1.292001,120835585
1986-07-01,3.030081,3.072165,2.665349,2.819659,1.207871,139913291
1986-08-01,2.826673,2.995011,2.714448,2.784588,1.197982,132025582
1986-09-01,2.784588,2.798616,2.286589,2.349716,1.010891,186006318
1986-10-01,2.349716,2.546110,2.314645,2.412842,1.038050,171485518
1986-11-01,2.426870,2.735490,2.412842,2.644307,1.142950,149959162
1986-12-01,2.637293,2.791602,2.560138,2.560138,1.106569,170279018
1987-01-01,2.574166,3.100222,2.574166,3.051123,1.318787,184309730
1987-02-01,3.051123,3.514052,3.044109,3.380785,1.467487,176856862
1987-03-01,3.394813,3.759545,3.247517,3.380785,1.467487,180593988
1987-04-01,3.338700,3.696418,3.156334,3.352728,1.455310,175178094
1987-05-01,3.324672,3.478982,3.023067,3.373771,1.470197,213600826
1987-06-01,3.401827,3.710446,3.289602,3.500024,1.525215,131749354
1987-07-01,3.443911,3.633291,3.373771,3.535094,1.540497,139228953
1987-08-01,3.507038,3.724474,3.415855,3.521066,1.540413,182041077
1987-09-01,3.549123,3.640306,3.219461,3.310644,1.448356,216569857
1987-10-01,3.303630,3.457940,2.244504,2.791602,1.221284,303434468
1987-11-01,2.805631,2.854729,2.384786,2.419856,1.058650,142101746
1987-12-01,2.482983,2.735490,2.370758,2.707433,1.184461,170824347
1988-01-01,2.693405,2.833687,2.525067,2.735490,1.196736,157330057
1988-02-01,2.721462,2.924870,2.581180,2.917856,1.283290,125638423
1988-03-01,2.917856,2.938898,2.581180,2.630279,1.156812,228044998
1988-04-01,2.588194,2.875771,2.532082,2.560138,1.125963,194136398
1988-05-01,2.574166,2.609236,2.405828,2.602222,1.151312,164217990
1988-06-01,2.623265,2.763546,2.440899,2.525067,1.117176,343313206
1988-07-01,2.511039,2.616250,2.440899,2.532082,1.120280,148241188
1988-08-01,2.546110,2.658335,2.454927,2.616250,1.165201,158563287
1988-09-01,2.609236,2.756532,2.560138,2.707433,1.205811,163496228
1988-10-01,2.700419,2.763546,2.553124,2.693405,1.199563,193411070
1988-11-01,2.686391,2.721462,2.475969,2.581180,1.157169,130371766
1988-12-01,2.581180,2.714448,2.546110,2.700419,1.210626,126941164
1989-01-01,2.700419,2.763546,2.595208,2.749518,1.232638,152880073
1989-02-01,2.735490,2.959940,2.700419,2.868757,1.294225,169277461
1989-03-01,2.889799,3.072165,2.826673,3.072165,1.385992,151778719
1989-04-01,3.086194,3.128278,2.987996,3.100222,1.398649,114321896
1989-05-01,3.086194,3.415855,3.065151,3.324672,1.509536,157884301
1989-06-01,3.317658,3.429883,3.100222,3.254531,1.477690,139989921
1989-07-01,3.247517,3.689404,3.247517,3.689404,1.675140,100987993
1989-08-01,3.696418,3.703432,3.464954,3.549123,1.620922,134221167
1989-09-01,3.549123,3.640306,3.408841,3.577179,1.633735,117871900
1989-10-01,3.584193,3.843714,3.443911,3.661348,1.672175,150014406
1989-11-01,3.661348,3.948925,3.549123,3.885798,1.784056,118599012
1989-12-01,3.892812,3.941911,3.577179,3.815657,1.751854,232578739
1990-01-01,3.829686,3.913855,3.563151,3.647320,1.674565,119318991
1990-02-01,3.647320,3.717460,3.507038,3.598221,1.660492,111436627
1990-03-01,3.591207,3.703432,3.521066,3.689404,1.702571,139303803
1990-04-01,3.675376,3.913855,3.661348,3.745517,1.728465,121573386
1990-05-01,3.759545,4.201432,3.745517,4.201432,1.951044,167217314
1990-06-01,4.264558,4.727487,4.152333,4.601234,2.136702,161557269
1990-07-01,4.601234,5.120276,4.545121,4.881797,2.266988,124680533
