Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.098958,0.151042,0.096354,0.145833,0.115401,29952000
1985-02-01,0.145833,0.148438,0.114583,0.114583,0.090672,17145600
1985-03-01,0.114583,0.125000,0.101563,0.114583,0.090672,21811200
1985-04-01,0.114583,0.130208,0.106771,0.127604,0.100976,30369600
1985-05-01,0.135417,0.177083,0.132813,0.161458,0.127765,57969600
1985-06-01,0.161458,0.166667,0.145833,0.166667,0.131887,20011200
1985-07-01,0.166667,0.166667,0.140625,0.151042,0.119523,22555200
1985-08-01,0.151042,0.169271,0.145833,0.158854,0.125704,29040000
1985-09-01,0.158854,0.169271,0.148438,0.166667,0.131887,21076800
1985-10-01,0.169271,0.221354,0.169271,0.218750,0.173101,50208000
1985-11-01,0.223958,0.244792,0.221354,0.231771,0.183405,23419200
1985-12-01,0.231771,0.325521,0.231771,0.281250,0.222559,87945600
1986-01-01,0.278646,0.294271,0.257813,0.294271,0.232863,59481600
1986-02-01,0.294271,0.315104,0.260417,0.312500,0.247288,51729600
1986-03-01,0.312500,0.388021,0.289063,0.385417,0.304988,202224000
1986-04-01,0.385417,0.593750,0.375000,0.427083,0.337959,205492800
1986-05-01,0.427083,0.606771,0.416667,0.536458,0.424510,206016000
1986-06-01,0.536458,0.609375,0.507813,0.515625,0.408024,86577600
1986-07-01,0.515625,0.544271,0.440104,0.466146,0.368871,157051200
1986-08-01,0.466146,0.520833,0.421875,0.450521,0.356506,67761600
1986-09-01,0.450521,0.458333,0.276042,0.364583,0.288502,213163200
1986-10-01,0.364583,0.479167,0.356771,0.471354,0.372992,100358400
1986-11-01,0.471354,0.507813,0.385417,0.497396,0.393600,137640000
1986-12-01,0.492188,0.492188,0.388021,0.458333,0.362688,137491200
1987-01-01,0.460938,0.606771,0.460938,0.544271,0.430693,234868800
1987-02-01,0.544271,0.794271,0.536458,0.781250,0.618219,235468800
1987-03-01,0.781250,0.929688,0.684896,0.802083,0.634705,321792000
1987-04-01,0.794271,0.856771,0.679688,0.825521,0.653251,247828800
1987-05-01,0.825521,0.895833,0.763021,0.843750,0.667677,150417600
1987-06-01,0.794271,0.856771,0.723958,0.794271,0.628523,164232000
1987-07-01,0.794271,0.794271,0.531250,0.617188,0.488393,475660800
1987-08-01,0.617188,0.726563,0.598958,0.666667,0.527547,145022400
1987-09-01,0.666667,0.692708,0.614583,0.679688,0.537851,137836800
1987-10-01,0.679688,0.781250,0.333333,0.554688,0.438936,261254400
1987-11-01,0.554688,0.606771,0.406250,0.442708,0.350324,153249600
1987-12-01,0.442708,0.656250,0.427083,0.645833,0.511061,147033600
1988-01-01,0.651042,0.721354,0.625000,0.677083,0.535789,200644800
1988-02-01,0.671875,0.755208,0.614583,0.692708,0.548154,169080000
1988-03-01,0.703125,0.750000,0.645833,0.671875,0.531668,142958400
1988-04-01,0.666667,0.671875,0.552083,0.609375,0.482211,174830400
1988-05-01,0.609375,0.630208,0.531250,0.588542,0.465725,137649600
1988-06-01,0.604167,0.661458,0.557292,0.562500,0.445118,143880000
1988-07-01,0.567708,0.598958,0.526042,0.593750,0.469846,127464000
1988-08-01,0.588542,0.674479,0.567708,0.656250,0.519304,160248000
1988-09-01,0.656250,0.703125,0.614583,0.682292,0.539912,79694400
1988-10-01,0.671875,0.692708,0.635417,0.661458,0.523425,70713600
1988-11-01,0.661458,0.661458,0.567708,0.656250,0.519304,131520000
1988-12-01,0.656250,0.703125,0.630208,0.703125,0.556397,156201600
1989-01-01,0.703125,0.802083,0.645833,0.786458,0.622340,363710400
1989-02-01,0.791667,0.828125,0.750000,0.786458,0.622340,299779200
1989-03-01,0.781250,0.921875,0.768229,0.854167,0.675920,312331200
1989-04-01,0.859375,0.901042,0.770833,0.833333,0.659433,184915200
1989-05-01,0.838542,0.859375,0.744792,0.835938,0.661495,285379200
1989-06-01,0.848958,1.000000,0.838542,0.901042,0.713013,540144000
1989-07-01,0.901042,0.979167,0.890625,0.906250,0.717134,188908800
1989-08-01,0.906250,0.927083,0.781250,0.812500,0.642948,231734400
1989-09-01,0.822917,0.921875,0.812500,0.875000,0.692405,194457600
1989-10-01,0.875000,1.218750,0.869792,1.197917,0.947936,552528000
1989-11-01,1.203125,1.255208,1.151042,1.166667,0.923207,257668800
1989-12-01,1.161458,1.255208,0.984375,1.020833,0.807806,411830400
1990-01-01,1.026042,1.156250,0.958333,0.973958,0.770713,349646400
1990-02-01,0.963542,1.208333,0.895833,1.197917,0.947936,348052800
1990-03-01,1.200521,1.317708,1.140625,1.286458,1.018000,355099200
1990-04-01,1.260417,1.338542,1.223958,1.333333,1.055093,221534400
1990-05-01,1.341146,1.572917,1.312500,1.460938,1.156070,310656000
1990-06-01,1.471354,1.635417,1.354167,1.619792,1.281774,360724800
1990-07-01,1.625000,1.916667,1.609375,1.796875,1.421903,382152000
1990-08-01,1.791667,2.052083,1.645833,1.885417,1.491969,630696000
1990-09-01,1.864583,2.104167,1.791667,1.864583,1.475482,314066400
1990-10-01,1.916667,2.010417,1.692708,1.968750,1.557912,399760800
1990-11-01,1.958333,2.427083,1.927083,2.416667,1.912358,257500800
1990-12-01,2.437500,2.645833,2.166667,2.593750,2.052486,344560800
1991-01-01,2.583333,3.125000,2.354167,3.072917,2.431662,377959200
1991-02-01,3.083333,4.385417,3.031250,3.802083,3.008665,760375200
1991-03-01,3.760417,5.552083,3.750000,5.468750,4.327534,446980800
1991-04-01,5.427083,5.666667,5.125000,5.281250,4.179161,298387200
1991-05-01,5.281250,5.708333,4.729167,5.093750,4.030787,393201600
1991-06-01,5.114583,5.145833,4.437500,4.911458,3.886537,243458400
1991-07-01,4.822917,6.250000,4.770833,6.166667,4.879808,290445600
1991-08-01,6.177083,6.833333,5.750000,6.656250,5.267225,232562400
1991-09-01,6.697917,7.312500,6.447917,6.906250,5.465055,226696000
1991-10-01,7.000000,7.937500,6.375000,7.500000,5.934903,252783200
1991-11-01,7.531250,7.593750,6.468750,7.000000,5.539242,238320800
1991-12-01,7.031250,9.500000,6.937500,9.468750,7.492815,281097600
1992-01-01,9.000000,9.781250,8.250000,8.812500,6.973510,318672800
1992-02-01,8.812500,9.031250,7.562500,8.156250,6.454206,244611200
1992-03-01,8.187500,8.437500,7.500000,7.812500,6.182188,202214400
1992-04-01,7.687500,7.812500,6.156250,7.000000,5.539242,361369600
1992-05-01,7.062500,7.734375,6.531250,7.625000,6.033816,173046400
1992-06-01,7.593750,7.687500,6.656250,7.609375,6.021452,178164800
1992-07-01,7.562500,8.281250,7.437500,8.187500,6.478934,190348000
1992-08-01,8.125000,8.437500,7.625000,7.921875,6.268739,148584800
1992-09-01,7.906250,8.718750,7.593750,7.843750,6.206919,177022400
1992-10-01,7.812500,8.531250,6.937500,8.343750,6.602578,231574400
1992-11-01,8.375000,9.718750,7.968750,9.593750,7.591727,223644800
1992-12-01,9.500000,9.750000,8.781250,8.828125,6.985872,186424000
1993-01-01,8.843750,8.968750,7.296875,7.750000,6.132732,307291200
1993-02-01,7.750000,7.906250,3.968750,4.531250,3.585669,728892800
1993-03-01,4.656250,4.875000,4.015625,4.718750,3.734043,622288000
1993-04-01,4.625000,5.218750,4.343750,5.000000,3.956601,337511200
1993-05-01,5.062500,5.343750,4.312500,4.437500,3.511483,304964000
1993-06-01,4.500000,4.718750,3.937500,4.562500,3.610397,261556800
1993-07-01,4.593750,4.625000,4.218750,4.375000,3.462025,164994400
1993-08-01,4.406250,4.656250,3.875000,4.625000,3.659857,256089600
1993-09-01,4.625000,5.218750,4.437500,4.828125,3.820595,261621600
1993-10-01,4.843750,5.812500,4.812500,5.703125,4.512997,318692800
1993-11-01,5.718750,6.000000,5.218750,5.656250,4.475905,253857600
1993-12-01,5.718750,6.375000,5.468750,6.187500,4.896295,183248800
1994-01-01,6.156250,6.500000,6.000000,6.093750,4.822107,216787200
1994-02-01,6.062500,6.093750,4.906250,5.218750,4.129703,342615200
1994-03-01,5.281250,5.312500,4.687500,4.781250,3.783500,231079200
1994-04-01,4.656250,5.281250,4.343750,5.062500,4.006058,164526400
1994-05-01,5.062500,5.937500,5.062500,5.820313,4.605732,206228000
1994-06-01,5.812500,5.890625,5.109375,5.359375,4.240983,202768800
1994-07-01,5.359375,6.234375,5.312500,6.210938,4.914841,224268800
1994-08-01,6.187500,7.156250,6.156250,6.593750,5.217768,332875200
1994-09-01,6.593750,7.156250,6.421875,6.656250,5.267225,177373600
1994-10-01,6.656250,7.484375,6.250000,6.968750,5.514513,281204000
1994-11-01,6.890625,7.531250,6.625000,7.296875,5.774165,247561600
1994-12-01,7.281250,7.484375,6.609375,7.375000,5.835986,174340800
1995-01-01,7.359375,7.968750,7.015625,7.953125,6.293469,209227200
