Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,0.192499,0.159922,0.192499,0.121819,7669193
1985-02-01,0.000000,0.201384,0.171768,0.180653,0.114322,12632856
1985-03-01,0.000000,0.186576,0.171768,0.180653,0.114322,5432170
1985-04-01,0.000000,0.189538,0.174730,0.180653,0.114322,5204247
1985-05-01,0.000000,0.180653,0.168807,0.171768,0.108700,4229243
1985-06-01,0.000000,0.189538,0.159922,0.189538,0.119945,11527004
1985-07-01,0.000000,0.228037,0.183614,0.219153,0.138686,22982258
1985-08-01,0.000000,0.222114,0.195461,0.201384,0.127441,8314976
1985-09-01,0.000000,0.222114,0.195461,0.201384,0.127441,12147461
1985-10-01,0.000000,0.207307,0.183614,0.186576,0.118070,8141923
1985-11-01,0.000000,0.183614,0.162884,0.162884,0.103078,11088042
1985-12-01,0.000000,0.189538,0.153999,0.186576,0.118070,16840991
1986-01-01,0.000000,0.195461,0.165845,0.180653,0.114322,9420826
1986-02-01,0.000000,0.198422,0.174730,0.192499,0.121819,13595197
1986-03-01,0.000000,0.266537,0.180653,0.248768,0.157427,57905154
1986-04-01,0.000000,0.316883,0.225076,0.296152,0.187413,52620715
1986-05-01,0.000000,0.310960,0.272460,0.299114,0.189288,18837430
1986-06-01,0.000000,0.316883,0.272460,0.293191,0.185539,17735802
1986-07-01,0.000000,0.293191,0.233960,0.233960,0.148056,13645847
1986-08-01,0.000000,0.248768,0.222114,0.230999,0.146183,10471805
1986-09-01,0.000000,0.266537,0.230999,0.251730,0.159302,9779593
1986-10-01,0.000000,0.293191,0.245806,0.290229,0.183665,7850688
1986-11-01,0.000000,0.290229,0.251730,0.278383,0.176168,13215323
1986-12-01,0.000000,0.302075,0.272460,0.293191,0.185539,12514672
1987-01-01,0.000000,0.402767,0.296152,0.384998,0.243637,20812766
1987-02-01,0.000000,0.482728,0.376114,0.435344,0.275498,30347551
1987-03-01,0.000000,0.598228,0.432382,0.553805,0.350463,38156031
1987-04-01,0.000000,0.621920,0.536036,0.562690,0.356086,20188088
1987-05-01,0.000000,0.583420,0.497536,0.580459,0.367330,9412386
1987-06-01,0.000000,0.598228,0.536036,0.559728,0.354211,9188679
1987-07-01,0.000000,0.636728,0.536036,0.630805,0.399191,15102022
1987-08-01,0.000000,0.740381,0.627843,0.678189,0.429177,19799772
1987-09-01,0.000000,0.793688,0.580459,0.752227,0.476030,15623289
1987-10-01,0.000000,0.758150,0.284306,0.361306,0.228644,38835581
1987-11-01,0.000000,0.414613,0.331691,0.355383,0.224896,13753478
1987-12-01,0.361306,0.461998,0.307998,0.402767,0.254882,22701575
1988-01-01,0.402767,0.461998,0.355383,0.450152,0.284869,24157748
1988-02-01,0.450152,0.521228,0.402767,0.515305,0.326099,13215325
1988-03-01,0.521228,0.592305,0.491613,0.550843,0.348589,21150430
1988-04-01,0.556766,0.769996,0.550843,0.752227,0.476030,35450499
1988-05-01,0.758150,0.793688,0.651535,0.663381,0.419806,18012262
1988-06-01,0.669304,0.929918,0.663381,0.870688,0.550996,36841253
1988-07-01,0.876611,0.947688,0.835150,0.906226,0.573485,29167838
1988-08-01,0.906226,0.929918,0.746304,0.793688,0.502268,23832747
1988-09-01,0.793688,0.841073,0.752227,0.758150,0.479778,13531883
1988-10-01,0.764073,0.769996,0.627843,0.645612,0.408561,29986674
1988-11-01,0.645612,0.663381,0.586382,0.621920,0.393568,14384487
1988-12-01,0.621920,0.675227,0.610074,0.669304,0.423554,17590185
1989-01-01,0.669304,0.710766,0.610074,0.657458,0.416058,22593942
1989-02-01,0.663381,0.722612,0.657458,0.675227,0.427302,20331594
1989-03-01,0.681150,0.805534,0.675227,0.769996,0.487275,18653827
1989-04-01,0.764073,0.835150,0.740381,0.811458,0.513513,19846203
1989-05-01,0.805534,0.823304,0.781842,0.805534,0.509764,18297167
1989-06-01,0.805534,0.870688,0.781842,0.805534,0.509764,14629295
1989-07-01,0.799611,0.864765,0.793688,0.823304,0.521010,7567895
1989-08-01,0.811458,0.870688,0.793688,0.835150,0.528506,8437381
1989-09-01,0.835150,0.841073,0.752227,0.781842,0.494771,10518235
1989-10-01,0.781842,0.835150,0.663381,0.698920,0.442296,12949414
1989-11-01,0.698920,0.858842,0.692997,0.799611,0.506016,10558332
1989-12-01,0.793688,0.805534,0.687074,0.722612,0.457289,6901010
1990-01-01,0.710766,0.746304,0.639689,0.681150,0.431051,11729606
1990-02-01,0.687074,0.758150,0.681150,0.698920,0.442296,14416141
1990-03-01,0.710766,0.746304,0.704843,0.710766,0.449792,9821800
1990-04-01,0.710766,0.888457,0.710766,0.864765,0.547247,33914128
1990-05-01,0.870688,1.066149,0.829227,0.995072,0.629709,30102749
1990-06-01,0.995072,1.018764,0.941765,0.941765,0.595975,28956798
1990-07-01,0.947688,1.119456,0.947688,1.042456,0.659695,20673477
1990-08-01,1.030610,1.054303,0.722612,0.817381,0.517261,37290767
1990-09-01,0.811458,0.900303,0.704843,0.734458,0.464785,17531093
1990-10-01,0.728535,0.764073,0.675227,0.681150,0.431051,23940375
1990-11-01,0.663381,0.781842,0.663381,0.781842,0.494771,18856423
1990-12-01,0.781842,0.799611,0.704843,0.758150,0.479778,13831561
1991-01-01,0.758150,0.906226,0.746304,0.894380,0.565988,13453801
1991-02-01,0.888457,0.977303,0.882534,0.912149,0.577233,18875418
1991-03-01,0.906226,1.072072,0.882534,0.923995,0.584730,32616231
1991-04-01,0.918072,0.959534,0.900303,0.953611,0.603472,19238406
1991-05-01,0.941765,0.995072,0.852919,0.995072,0.629709,29950797
1991-06-01,0.995072,1.089841,0.995072,1.018764,0.644702,31381649
1991-07-01,1.030610,1.113533,1.006918,1.054303,0.667193,18719249
1991-08-01,1.036533,1.089841,0.971380,1.083918,0.685933,16421022
1991-09-01,1.089841,1.095764,0.888457,0.953611,0.603472,18008044
1991-10-01,0.959534,0.965457,0.864765,0.900303,0.569737,14732704
1991-11-01,0.900303,0.935842,0.876611,0.876611,0.554744,9317414
1991-12-01,0.870688,0.965457,0.846996,0.959534,0.607220,13291299
1992-01-01,0.965457,1.054303,0.935842,1.042456,0.659695,8333972
