Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.607639,2.673611,2.506944,2.666667,0.869975,166348800
1985-02-01,2.652778,2.812500,2.638889,2.774306,0.905091,147592800
1985-03-01,2.767361,2.927083,2.746528,2.913194,0.958047,157539600
1985-04-01,2.906250,2.913194,2.809028,2.826389,0.929500,101516400
1985-05-01,2.805556,3.041667,2.729167,2.996528,0.985452,152532000
1985-06-01,3.041667,3.208333,2.986111,3.128472,1.028844,147542400
1985-07-01,3.118056,3.256944,3.027778,3.135417,1.038832,137498400
1985-08-01,3.145833,3.270833,3.086806,3.170139,1.050336,98607600
1985-09-01,3.166667,3.170139,2.875000,3.006944,1.003245,147135600
1985-10-01,3.003472,3.236111,2.944444,3.236111,1.079706,140846400
1985-11-01,3.225694,3.652778,3.225694,3.611111,1.204821,128656800
1985-12-01,3.625000,3.826389,3.555556,3.805556,1.269696,136224000
1986-01-01,3.805556,3.951389,3.729167,3.822917,1.284433,157842000
1986-02-01,3.829861,4.305556,3.819444,4.184028,1.405760,125632800
1986-03-01,4.152778,4.916667,4.062500,4.840278,1.636024,171756000
1986-04-01,4.868056,5.083333,4.472222,4.819444,1.628981,199785600
1986-05-01,4.795139,5.569444,4.722222,5.361111,1.812065,147236400
1986-06-01,5.375000,5.881944,5.111111,5.805556,1.962289,125598600
1986-07-01,5.750000,5.972222,5.305556,5.916667,2.009388,137439000
1986-08-01,5.930556,6.486111,5.902778,6.423611,2.181554,117799200
1986-09-01,6.416667,6.423611,5.388889,5.472222,1.858448,182881800
1986-10-01,5.479167,6.125000,5.472222,6.034722,2.059278,137336400
1986-11-01,6.055556,6.222222,5.583333,6.138889,2.094823,101113200
1986-12-01,6.111111,7.194444,6.041667,6.881944,2.348381,249190200
1987-01-01,6.895833,8.027778,6.777778,7.638889,2.619690,242348400
1987-02-01,7.625000,8.694444,7.388889,8.569444,2.938815,178956000
1987-03-01,8.548611,9.104167,8.361111,8.590278,2.945961,208008000
1987-04-01,8.541667,9.208333,8.055556,8.194444,2.820269,239085000
1987-05-01,8.194444,8.888889,8.166667,8.798611,3.028204,166071600
1987-06-01,8.833333,9.611111,8.583333,9.472222,3.260042,171601200
1987-07-01,9.423611,10.555556,9.416667,10.513889,3.631311,200136600
1987-08-01,10.375000,11.611111,10.277778,11.354167,3.921528,223965000
1987-09-01,11.555556,12.388889,10.875000,11.493056,3.984981,276787800
1987-10-01,11.479167,11.652778,8.166667,10.083333,3.496191,362894400
1987-11-01,10.000000,10.277778,9.277778,9.444444,3.274668,207250200
1987-12-01,9.527778,9.527778,8.486111,8.805556,3.053147,185668200
1988-01-01,8.888889,9.472222,8.000000,8.375000,2.917590,179249400
1988-02-01,8.486111,9.236111,8.277778,9.187500,3.200639,152767800
1988-03-01,9.194444,9.250000,8.638889,8.722222,3.056692,181960200
1988-04-01,8.666667,9.291667,8.611111,8.743056,3.063996,177307200
1988-05-01,8.791667,8.916667,8.138889,8.895833,3.117534,127794600
1988-06-01,8.979167,9.479167,8.916667,9.375000,3.285459,128444400
1988-07-01,9.437500,9.437500,8.916667,9.312500,3.282653,80460000
1988-08-01,9.375000,9.708333,8.937500,9.145833,3.223905,100262400
1988-09-01,9.062500,9.833333,8.979167,9.625000,3.410983,92799000
1988-10-01,9.666667,9.937500,9.375000,9.541667,3.381449,83559000
1988-11-01,9.541667,9.916667,8.916667,9.416667,3.337152,86903400
1988-12-01,9.416667,9.791667,9.291667,9.625000,3.434031,68485800
1989-01-01,9.541667,10.895833,9.375000,10.875000,3.880009,128399400
1989-02-01,10.770833,11.062500,10.208333,10.645833,3.798247,87702000
1989-03-01,10.666667,11.083333,10.479167,10.833333,3.865145,97007400
1989-04-01,10.812500,11.479167,10.770833,11.375000,4.084670,79087200
1989-05-01,11.291667,12.145833,11.125000,11.562500,4.152001,110057400
1989-06-01,11.541667,12.041667,11.000000,11.145833,4.025791,102835800
1989-07-01,11.145833,12.979167,11.104167,12.666667,4.575105,91636800
1989-08-01,12.645833,12.770833,12.104167,12.229167,4.417081,101026800
1989-09-01,12.312500,12.708333,11.645833,12.625000,4.587767,94827000
1989-10-01,12.541667,13.270833,11.479167,12.979167,4.716466,108007800
1989-11-01,12.854167,13.458333,12.520833,13.145833,4.777030,86504400
1989-12-01,13.229167,13.250000,12.458333,12.916667,4.693753,75938400
1990-01-01,12.875000,13.333333,11.625000,12.041667,4.400897,132612600
1990-02-01,12.125000,12.229167,11.166667,11.395833,4.164863,86976000
1990-03-01,11.416667,12.062500,11.187500,11.583333,4.233389,99710400
1990-04-01,11.500000,12.520833,11.458333,12.208333,4.490834,74394000
1990-05-01,12.312500,14.229167,12.125000,13.791667,5.073263,116917200
1990-06-01,13.875000,14.541667,13.250000,14.458333,5.347143,91866600
1990-07-01,14.437500,15.187500,14.125000,14.854167,5.493536,89713200
1990-08-01,14.895833,15.000000,12.583333,13.604167,5.031247,134635200
1990-09-01,13.458333,13.791667,12.062500,12.687500,4.724901,92619600
1990-10-01,12.833333,13.750000,12.458333,12.812500,4.771449,122428200
1990-11-01,12.791667,14.395833,12.562500,14.375000,5.353335,95367000
1990-12-01,14.416667,14.979167,14.062500,14.979167,5.578332,66991200
1991-01-01,14.875000,15.333333,13.666667,15.250000,5.716304,108800400
1991-02-01,15.166667,17.416668,15.125000,17.020832,6.380081,103761000
1991-03-01,16.750000,18.166668,16.583332,17.583332,6.590932,82742400
1991-04-01,17.500000,19.291668,17.437500,17.958332,6.768564,76581000
1991-05-01,18.041668,20.479168,17.979168,19.812500,7.467410,92488200
1991-06-01,19.666668,19.791668,18.875000,19.354168,7.294660,75001800
1991-07-01,19.458332,21.479168,19.333332,21.458332,8.126007,63850800
1991-08-01,21.437500,21.625000,19.500000,21.145832,8.007669,71581800
1991-09-01,21.062500,22.208332,20.895832,21.687500,8.253215,57896400
1991-10-01,21.770832,22.875000,21.125000,22.875000,8.705120,65362800
1991-11-01,22.791668,24.416668,22.416668,24.395832,9.283875,99130800
1991-12-01,24.083332,27.833332,23.583332,27.750000,10.560310,83257800
1992-01-01,27.666668,28.291668,24.833332,26.187500,10.008768,131497200
1992-02-01,26.208332,26.812500,23.916668,26.270832,10.040622,106098600
1992-03-01,26.250000,26.333332,24.208332,24.520832,9.371778,98155200
1992-04-01,24.520832,25.958332,22.750000,24.166668,9.277028,124084800
1992-05-01,24.041668,25.625000,23.687500,25.187500,9.668903,87013800
1992-06-01,25.000000,25.687500,23.500000,24.375000,9.357003,88132000
1992-07-01,24.500000,25.937500,24.312500,25.937500,10.001586,65065600
1992-08-01,25.875000,26.687500,24.187500,24.312500,9.374984,57977400
1992-09-01,24.312500,24.937500,21.125000,22.250000,8.623336,102989600
1992-10-01,22.375000,22.500000,20.250000,21.937500,8.502222,136528600
1992-11-01,21.875000,23.312500,20.687500,22.562500,8.744451,86530000
1992-12-01,22.562500,23.875000,21.687500,21.687500,8.405332,78113000
1993-01-01,21.937500,22.062500,19.750000,20.187500,7.866977,122438600
1993-02-01,19.812500,20.500000,17.875000,19.250000,7.501635,154984200
1993-03-01,19.625000,20.500000,16.625000,17.687500,6.892733,175033800
1993-04-01,17.562500,18.875000,16.500000,18.500000,7.255280,125656600
1993-05-01,18.625000,19.687500,17.875000,19.125000,7.500390,88451800
1993-06-01,19.187500,19.562500,17.625000,17.750000,6.961147,80890800
1993-07-01,17.500000,17.687500,15.125000,15.312500,6.044855,146466400
1993-08-01,15.312500,16.875000,14.312500,15.937500,6.291580,165040200
1993-09-01,15.937500,16.625000,15.000000,15.375000,6.069527,107179400
1993-10-01,15.375000,16.437500,14.875000,16.062500,6.397125,101595600
1993-11-01,16.062500,17.750000,15.875000,17.125000,6.820279,178844000
1993-12-01,17.187500,17.812500,16.187500,17.187500,6.845171,136206400
1994-01-01,17.375000,19.000000,17.125000,18.250000,7.328679,141410800
1994-02-01,18.187500,18.375000,15.875000,16.187500,6.500440,111100600
1994-03-01,16.125000,16.250000,14.375000,14.875000,5.973374,146032400
1994-04-01,14.437500,15.625000,14.062500,14.812500,6.000786,122044800
1994-05-01,14.937500,16.125000,14.750000,15.250000,6.178021,103559800
1994-06-01,15.187500,15.937500,14.812500,14.875000,6.026105,98726600
1994-07-01,14.937500,15.187500,14.500000,14.812500,6.056618,68225200
1994-08-01,14.750000,17.312500,14.625000,17.062500,6.976606,135484200
1994-09-01,17.062500,18.062500,16.625000,17.812500,7.283271,107246800
1994-10-01,17.875000,18.625000,17.000000,17.812500,7.347394,106421400
1994-11-01,17.750000,19.000000,17.375000,18.625000,7.682539,108589000
1994-12-01,18.500000,19.750000,18.312500,19.062500,7.863003,109298400
1995-01-01,19.000000,20.187500,18.187500,20.125000,8.368893,101569800
1995-02-01,20.125000,21.375000,19.750000,21.187500,8.810729,99246600
1995-03-01,21.125000,22.562500,20.562500,21.312500,8.862711,132664600
1995-04-01,21.437500,21.937500,20.750000,21.437500,8.978443,87015800
1995-05-01,21.500000,23.625000,20.625000,23.500000,9.842262,135448200
1995-06-01,23.375000,25.625000,23.312500,24.562500,10.287252,129015600
1995-07-01,24.500000,25.937500,23.312500,25.812500,10.879859,106018400
1995-08-01,25.812500,26.187500,24.250000,24.937500,10.511048,85211400
1995-09-01,25.000000,28.937500,24.937500,28.000000,11.801879,107192400
1995-10-01,28.312500,30.687500,28.250000,28.750000,12.200551,123417400
1995-11-01,28.750000,31.312500,27.812500,30.937500,13.128858,94858800
1995-12-01,31.062500,33.625000,30.625000,32.812500,13.924545,106369600
1996-01-01,32.375000,35.187500,30.500000,35.062500,14.959624,118277000
1996-02-01,34.812500,35.687500,32.250000,33.125000,14.132972,119602600
1996-03-01,33.500000,34.500000,30.000000,31.125000,13.279667,152304600
1996-04-01,31.250000,32.250000,28.687500,30.250000,12.970368,137792800
1996-05-01,30.187500,32.687500,28.250000,32.312500,13.854709,149265600
1996-06-01,32.250000,33.062500,31.625000,32.312500,13.854709,78767800
1996-07-01,32.687500,33.437500,29.125000,32.125000,13.845507,111690000
1996-08-01,32.093750,34.937500,32.093750,32.812500,14.141818,81864400
1996-09-01,32.500000,35.437500,32.062500,35.187500,15.165417,87414000
1996-10-01,35.187500,38.187500,34.562500,36.937500,16.018024,105039200
1996-11-01,37.125000,42.125000,36.812500,41.500000,17.996565,96996400
1996-12-01,41.250000,41.937500,37.625000,39.812500,17.264778,99265000
1997-01-01,39.812500,46.312500,39.000000,45.312500,19.747677,117242400
1997-02-01,45.437500,49.937500,44.500000,46.062500,20.074541,111526600
1997-03-01,45.312500,47.750000,41.437500,42.125000,18.358524,125965600
1997-04-01,42.000000,45.937500,40.187500,45.187500,19.784271,145490400
1997-05-01,45.062500,47.312500,44.375000,44.937500,19.674818,106529000
1997-06-01,45.062500,52.406250,44.500000,51.156250,22.397547,120321400
1997-07-01,51.125000,54.093750,49.062500,51.937500,22.847118,131282000
1997-08-01,51.968750,52.218750,45.375000,45.906250,20.193987,137025000
1997-09-01,46.062500,52.312500,45.437500,49.968750,21.981060,116098200
1997-10-01,50.968750,51.750000,40.312500,44.625000,19.723116,177618000
1997-11-01,45.218750,47.593750,42.656250,47.414063,20.955820,127924200
1997-12-01,47.500000,53.937500,47.375000,53.000000,23.424662,138220600
1998-01-01,52.625000,59.500000,50.687500,58.687500,26.061684,128288600
1998-02-01,60.000000,65.437500,56.250000,63.781250,28.323683,106328800
1998-03-01,63.781250,66.406250,61.843750,64.093750,28.462469,83686600
1998-04-01,64.187500,66.500000,55.750000,60.250000,26.850838,124309400
1998-05-01,59.875000,60.781250,57.187500,58.500000,26.070932,90498400
1998-06-01,58.500000,67.125000,55.750000,66.875000,29.803312,122690600
1998-07-01,66.312500,69.562500,60.406250,61.781250,27.641277,125011800
1998-08-01,61.437500,67.531250,57.531250,57.968750,25.935558,141802000
1998-09-01,58.937500,69.343750,57.500000,64.781250,28.983503,151542400
1998-10-01,64.375000,68.375000,60.812500,67.531250,30.347651,141788800
1998-11-01,67.875000,79.937500,67.250000,77.562500,34.855564,99138400
1998-12-01,77.125000,80.875000,70.750000,73.750000,33.142292,119599200
1999-01-01,74.312500,77.000000,67.468750,73.375000,33.087566,122417200
1999-02-01,73.250000,82.000000,72.187500,81.500000,36.751423,92713000
1999-03-01,81.625000,87.375000,78.000000,80.125000,36.131378,102914800
1999-04-01,80.437500,85.062500,67.937500,70.375000,31.842987,124109800
1999-05-01,70.000000,75.812500,66.000000,67.625000,30.598667,111920700
1999-06-01,68.000000,74.000000,66.000000,73.625000,33.313530,109125500
1999-07-01,73.875000,75.937500,66.250000,67.625000,30.720421,86754700
1999-08-01,67.250000,70.625000,60.937500,67.187500,30.521671,110027500
1999-09-01,67.187500,70.875000,64.062500,64.812500,29.442762,86831700
1999-10-01,64.687500,80.250000,64.500000,79.562500,36.300018,106157900
1999-11-01,78.937500,81.125000,74.375000,78.687500,35.900810,77711500
1999-12-01,77.750000,78.125000,66.062500,67.187500,30.653992,110562800
2000-01-01,68.625000,79.000000,64.750000,78.625000,36.004982,127423900
2000-02-01,77.375000,78.375000,59.187500,61.562500,28.191513,133126800
