Date,PFE,MRK,ABT,LLY,AMGN,BMY,DHR
1/1/1985,1.561512,2.666667,1.32566,4.460938,0.145833,6.469109,0.192499
2/1/1985,1.591161,2.774306,1.343196,4.828125,0.114583,6.602953,0.180653
3/1/1985,1.694932,2.913194,1.486984,4.859375,0.114583,6.840897,0.180653
4/1/1985,1.759171,2.826389,1.430872,4.78125,0.127604,6.76654,0.180653
5/1/1985,1.976597,2.996528,1.518548,5.34375,0.161458,7.2573,0.171768
6/1/1985,1.956831,3.128472,1.60973,5.40625,0.166667,7.301914,0.189538
7/1/1985,1.907416,3.135417,1.557125,5.304688,0.151042,7.153199,0.219153
8/1/1985,1.902475,3.170139,1.623759,5.414063,0.158854,7.078841,0.201384
9/1/1985,1.872826,3.006944,1.592195,5.40625,0.166667,6.424495,0.201384
10/1/1985,1.808586,3.236111,1.63428,5.859375,0.21875,6.751668,0.186576
11/1/1985,2.110017,3.611111,1.746505,6.484375,0.231771,7.762931,0.162884
12/1/1985,2.001305,3.805556,1.91835,6.96875,0.28125,7.881903,0.186576
1/1/1986,1.912358,3.822917,1.928871,6.8125,0.294271,7.346529,0.180653
2/1/1986,2.189081,4.184028,1.981477,7.5,0.3125,8.387535,0.192499
3/1/1986,2.376858,4.840278,2.419856,9.3125,0.385417,8.997267,0.248768
4/1/1986,2.342268,4.819444,2.419856,8.421875,0.427083,9.116239,0.296152
5/1/1986,2.485571,5.361111,2.595208,9.46875,0.536458,9.532642,0.299114
6/1/1986,2.826534,5.805556,3.016053,10.109375,0.515625,10.231603,0.293191
7/1/1986,2.638757,5.916667,2.819659,9.40625,0.466146,9.51777,0.23396
8/1/1986,2.688172,6.423611,2.784588,9.734375,0.450521,9.279826,0.230999
9/1/1986,2.292853,5.472222,2.349716,8.171875,0.364583,8.53625,0.25173
10/1/1986,2.362034,6.034722,2.412842,9.34375,0.471354,9.354183,0.290229
11/1/1986,2.411448,6.138889,2.644307,9.390625,0.497396,9.294697,0.278383
12/1/1986,2.411448,6.881944,2.560138,9.28125,0.458333,9.830072,0.293191
1/1/1987,2.678289,7.638889,3.051123,10.8125,0.544271,11.019793,0.384998
2/1/1987,2.88089,8.569444,3.380785,11.796875,0.78125,11.926956,0.435344
3/1/1987,2.861124,8.590278,3.380785,11.4375,0.802083,12.045928,0.553805
4/1/1987,2.787002,8.194444,3.352728,11.375,0.825521,11.793112,0.56269
5/1/1987,2.574518,8.798611,3.373771,11,0.84375,11.555168,0.580459
6/1/1987,2.8463,9.472222,3.500024,11.734375,0.794271,11.837726,0.559728
7/1/1987,2.920422,10.513889,3.535094,12,0.617188,12.135157,0.630805
8/1/1987,2.796885,11.354167,3.521066,12.28125,0.666667,12.224386,0.678189
9/1/1987,2.737587,11.493056,3.310644,12.03125,0.679688,12.016185,0.752227
10/1/1987,2.080368,10.083333,2.791602,9.625,0.554688,10.350575,0.361306
11/1/1987,1.823411,9.444444,2.419856,8.375,0.442708,9.071625,0.355383
12/1/1987,1.843177,8.805556,2.707433,9.75,0.645833,9.904429,0.402767
1/1/1988,2.159432,8.375,2.73549,9.5625,0.677083,10.469547,0.450152
2/1/1988,2.149549,9.1875,2.917856,9.828125,0.692708,10.677748,0.515305
3/1/1988,2.179198,8.722222,2.630279,10.5,0.671875,9.785457,0.550843
4/1/1988,2.174257,8.743056,2.560138,10,0.609375,9.666485,0.752227
5/1/1988,2.060602,8.895833,2.602222,9.984375,0.588542,9.963915,0.663381
