Date,BRK-A,WMT,PG,HD,COST,HON
1/1/1987,3100,3.03125,5.5,0.48011,9.71875,11.261678
2/1/1987,3360,3.421875,5.421875,0.524005,11.0625,10.96375
3/1/1987,3520,3.59375,5.75,0.636488,12,10.933957
4/1/1987,3380,3.539063,5.296875,0.633745,10.625,10.54665
5/1/1987,3410,3.65625,5.71875,0.735254,10.8125,9.652866
6/1/1987,3500,4.226563,6.125,0.740741,11.21875,10.397686
7/1/1987,3960,4.65625,5.820313,0.823045,11.9375,10.487065
8/1/1987,3990,5.0625,6.40625,0.853224,12.5,10.993542
9/1/1987,4220,4.734375,6.3125,0.748971,11.5625,10.874371
10/1/1987,3325,3.453125,5.515625,0.534979,7.75,8.610119
11/1/1987,2900,3,5.085938,0.539095,6.75,6.911929
12/1/1987,2950,3.25,5.335938,0.617284,8.1875,6.733172
1/1/1988,3030,3.421875,5.304688,0.625514,8.90625,7.448199
2/1/1988,3150,3.671875,5.265625,0.761317,10,7.746127
3/1/1988,3425,3.515625,4.867188,0.790123,9.375,7.686542
4/1/1988,3775,3.46875,4.820313,0.855967,9.5,7.507785
5/1/1988,3925,3.53125,4.773438,0.823045,9.0625,7.865299
6/1/1988,4150,3.828125,4.84375,0.954733,9.5625,8.222812
7/1/1988,4375,4.109375,4.695313,0.909465,8.8125,8.461155
8/1/1988,4300,3.75,4.664063,0.773663,9.21875,7.865299
9/1/1988,4800,4.03125,5,0.855967,9.6875,8.044055
10/1/1988,4725,3.921875,5.164063,0.934156,10,8.133434
11/1/1988,4700,3.78125,5.117188,0.99177,9.8125,8.133434
12/1/1988,4700,3.921875,5.4375,1.041152,9.375,7.746127
1/1/1989,4925,4.21875,5.757813,1.024691,9.375,8.282398
2/1/1989,4725,3.984375,5.539063,1.144033,9.25,8.044055
3/1/1989,4950,4.0625,5.78125,1.193416,9.0625,7.77592
4/1/1989,6275,4.5,5.976563,1.320988,10.1875,8.014263
5/1/1989,6425,4.734375,6.421875,1.349794,11.125,8.341983
6/1/1989,6575,4.765625,6.773438,1.283951,10,7.865299
7/1/1989,7500,5.40625,7.460938,1.54321,10.9375,8.848461
8/1/1989,7975,5.28125,8.03125,1.759259,11.125,9.563488
9/1/1989,8625,5.125,7.5,1.722222,10.75,8.908046
10/1/1989,8510,5.1875,8.070313,1.666667,11.03125,8.610119
11/1/1989,8250,5.453125,8.09375,1.814815,11.6875,8.639911
12/1/1989,8675,5.609375,8.78125,1.808642,11.5625,8.312191
1/1/1990,7455,5.328125,8,1.734568,9.84375,8.103641
2/1/1990,7225,5.5,7.984375,1.962963,9.5625,8.371776
3/1/1990,6725,5.90625,8.46875,2.259259,9.6875,8.818668
4/1/1990,6700,6.203125,8.828125,2.308642,8.5625,8.371776
5/1/1990,7150,7.046875,10.328125,2.993827,9.59375,8.699497
6/1/1990,7200,7.796875,10.890625,2.851852,10.375,8.759083
7/1/1990,7000,7.84375,10.84375,2.537037,10,8.044055
8/1/1990,6400,7.125,9.625,2.509259,8.3125,7.388614
9/1/1990,5875,6.8125,9.109375,2.25,7.3125,6.643794
10/1/1990,5950,6.6875,9.828125,2.175926,7.8125,5.988352
11/1/1990,6345,7.53125,10.359375,2.648148,9.5625,6.614001
12/1/1990,6675,7.5625,10.828125,2.861111,9.8125,6.435244
1/1/1991,7400,8.25,9.90625,3.203704,11.125,6.911929
2/1/1991,8075,8.84375,10.15625,3.611111,10.34375,7.090686
3/1/1991,8025,9.6875,10.640625,4,11.6875,6.911929
4/1/1991,8125,10.125,10.484375,4.259259,12.75,7.060893
5/1/1991,8750,10.71875,10.640625,4.87963,13.875,7.120479
6/1/1991,8400,10.6875,9.671875,5.013889,13.5,7.865299
7/1/1991,8525,11.90625,10.09375,5.388889,13.625,9.26556
8/1/1991,8775,12.65625,10.4375,5.986111,15.875,9.146389
9/1/1991,8875,11.9375,10.609375,6.055556,15.0625,8.639911
10/1/1991,8570,11.5625,10.453125,6.333333,14.875,9.891209
11/1/1991,8350,12.21875,10.125,6.694444,13.9375,9.26556
12/1/1991,9050,14.71875,11.734375,7.486111,12.5625,10.457272
1/1/1992,8850,13.46875,12.96875,6.847222,11.4375,11.797948
2/1/1992,8725,13.5,12.703125,7.111111,13.5,11.827741
3/1/1992,8950,13.3125,12.78125,7.194444,11.75,12.03629
4/1/1992,9125,13.0625,12.90625,6.930556,7.625,13.883444
5/1/1992,9100,13.25,12.84375,7.847222,8.4375,13.823858
6/1/1992,9225,13.4375,11.5,7.472222,8.25,12.810903
7/1/1992,9525,13.96875,12.65625,8.375,8.5,13.228002
8/1/1992,9125,14.28125,11.71875,8.895833,7.6875,12.483182
9/1/1992,9400,14.78125,12.34375,9.229167,8,12.393804
10/1/1992,9475,15.21875,13.21875,9.645833,8.8125,13.228002
11/1/1992,10725,16.09375,13.5625,10.166667,9.75,13.615309
12/1/1992,11750,16,13.40625,11.25,9.0625,14.419714
1/1/1993,12100,16.28125,12.4375,10.854167,9.375,13.73448
2/1/1993,12475,16.25,13,10.604167,8.375,15.700804
3/1/1993,12750,15.875,12.46875,10.541667,8.3125,15.879561
4/1/1993,12650,13.375,12.28125,9.388889,7.25,15.55184
5/1/1993,15000,13.9375,12.28125,10.277778,7.3125,15.909354
6/1/1993,15400,13.125,13,9.722222,8.5,15.909354
7/1/1993,16000,12.6875,12.1875,9.805556,7.9375,16.713758
8/1/1993,17525,12.875,12.09375,9.5,9.5,17.816093
9/1/1993,16675,12.3125,11.875,8.555556,9.46875,17.369202
10/1/1993,17250,13.1875,13.5625,8.805556,8.875,17.071274
11/1/1993,17250,14.3125,14.1875,9.222222,9.5625,16.952103
12/1/1993,16325,12.5,14.25,8.777778,9.625,18.829048
1/1/1994,16200,13.25,14.875,8.666667,8.875,18.73967
2/1/1994,15450,14.1875,14.375,9.25,10,18.2034
3/1/1994,15925,12.9375,13.375,9.055556,9.0625,17.398994
4/1/1994,16100,12.625,14.21875,9.333333,7.5625,16.445623
5/1/1994,16100,11.75,14.09375,10.027778,6.625,16.743551
6/1/1994,16100,12.125,13.34375,9.361111,7.46875,16.505211
7/1/1994,19600,12.5,13.9375,9.083333,7.5,18.233192
8/1/1994,19100,12.3125,15.21875,10.055556,7.84375,17.816093
9/1/1994,18950,11.6875,14.90625,9.333333,8.03125,16.266869
10/1/1994,20250,11.75,15.71875,10.111111,7.875,16.505211
11/1/1994,20525,11.625,15.625,10.277778,7.6875,15.55184
12/1/1994,20400,10.625,15.5,10.222222,6.4375,16.207281
1/1/1995,24600,11.4375,16.28125,10.388889,6.875,17.041479
2/1/1995,22275,11.875,16.625,9.972222,6.8125,18.054436
3/1/1995,22650,12.8125,16.5625,9.833333,7.375,18.709877
4/1/1995,21600,11.875,17.46875,9.277778,7.3125,18.888634
5/1/1995,22700,12.4375,17.96875,9.25,7.0625,19.246147
6/1/1995,23450,13.375,17.96875,9.055556,8.125,21.212473
7/1/1995,24750,13.3125,17.21875,9.777778,8.96875,22.285013
8/1/1995,25500,12.25,17.34375,8.888889,8.4375,21.152885
9/1/1995,29400,12.375,19.25,8.861111,8.5625,21.033714
10/1/1995,29500,10.8125,20.25,8.277778,8.5,20.259102
11/1/1995,31300,12,21.625,9.861111,8.3125,22.582941
12/1/1995,32100,11.125,20.75,10.611111,7.625,22.642527
1/1/1996,31900,10.1875,21,10.222222,7.8125,23.774652
2/1/1996,35500,10.625,20.5,9.611111,8.625,26.515591
3/1/1996,33850,11.5,21.1875,10.611111,9.375,28.183987
4/1/1996,33500,11.9375,21.125,10.527778,9.5,27.647717
5/1/1996,30500,12.9375,21.96875,11.361111,10,26.098492
