Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.392318,0.400549,0.348422,0.364883,0.228626,84864716
1985-02-01,0.364883,0.427984,0.329218,0.417010,0.261287,108461533
1985-03-01,0.417010,0.438957,0.373114,0.375857,0.235502,90113515
1985-04-01,0.373114,0.406036,0.345679,0.392318,0.245816,59249477
1985-05-01,0.392318,0.447188,0.356653,0.362140,0.226907,127784591
1985-06-01,0.359396,0.364883,0.277092,0.290809,0.182213,87288642
1985-07-01,0.285322,0.310014,0.277092,0.288066,0.180495,130864615
1985-08-01,0.285322,0.290809,0.230453,0.260631,0.163304,171788853
1985-09-01,0.257888,0.279835,0.238683,0.244170,0.152990,57508990
1985-10-01,0.244170,0.260631,0.238683,0.241427,0.151272,52415102
1985-11-01,0.241427,0.279835,0.230453,0.241427,0.151272,89662448
1985-12-01,0.241427,0.301783,0.235940,0.274348,0.171899,87142838
1986-01-01,0.274348,0.282579,0.235940,0.274348,0.171899,84860160
1986-02-01,0.274348,0.326475,0.260631,0.318244,0.199403,141949973
1986-03-01,0.320988,0.375857,0.310014,0.353909,0.221750,151827922
1986-04-01,0.353909,0.400549,0.312757,0.373114,0.233783,121834127
1986-05-01,0.353909,0.466392,0.345679,0.452675,0.283634,192373990
1986-06-01,0.449931,0.477366,0.427984,0.477366,0.299105,86773786
1986-07-01,0.477366,0.477366,0.348422,0.367627,0.230345,76203284
1986-08-01,0.367627,0.449931,0.364883,0.436214,0.273320,99221458
1986-09-01,0.438957,0.444444,0.362140,0.373114,0.233783,85798748
1986-10-01,0.373114,0.414266,0.364883,0.403292,0.252692,81315397
1986-11-01,0.403292,0.433471,0.381344,0.414266,0.259568,83680090
1986-12-01,0.411523,0.425240,0.392318,0.392318,0.245816,83361151
1987-01-01,0.395062,0.499314,0.392318,0.480110,0.300824,131944446
1987-02-01,0.485597,0.548697,0.480110,0.524005,0.328328,156051566
1987-03-01,0.548697,0.674897,0.534979,0.636488,0.398806,183694333
1987-04-01,0.631001,0.666667,0.570645,0.633745,0.397088,183361727
1987-05-01,0.628258,0.743484,0.614540,0.735254,0.460691,188095671
1987-06-01,0.732510,0.812071,0.732510,0.740741,0.464129,157837617
1987-07-01,0.735254,0.834019,0.713306,0.823045,0.515698,107737087
1987-08-01,0.817558,0.924554,0.817558,0.853224,0.534607,124576992
1987-09-01,0.858711,0.883402,0.724280,0.748971,0.469285,147985484
1987-10-01,0.748971,0.864198,0.399177,0.534979,0.335204,178851042
1987-11-01,0.543210,0.604938,0.518519,0.539095,0.337783,91720356
1987-12-01,0.547325,0.650206,0.510288,0.617284,0.387216,120771002
1988-01-01,0.617284,0.662551,0.572016,0.625514,0.392379,94028854
1988-02-01,0.633745,0.765432,0.629630,0.761317,0.477566,104140694
1988-03-01,0.757202,0.831276,0.744856,0.790123,0.495637,162609531
1988-04-01,0.786008,0.893004,0.765432,0.855967,0.537382,112053380
1988-05-01,0.860082,0.880658,0.761317,0.823045,0.516714,72280357
1988-06-01,0.818930,0.979424,0.810700,0.954733,0.599388,127237842
1988-07-01,0.958848,0.958848,0.839506,0.909465,0.571655,121654916
1988-08-01,0.913580,0.925926,0.753086,0.773663,0.486295,100362044
1988-09-01,0.773663,0.888889,0.769547,0.855967,0.538695,116430419
1988-10-01,0.855967,0.987654,0.855967,0.934156,0.587902,76781931
1988-11-01,0.934156,1.016461,0.872428,0.991770,0.624161,110959881
1988-12-01,0.987654,1.053498,0.942387,1.041152,0.655239,90101368
1989-01-01,1.037037,1.041152,0.946502,1.024691,0.645510,87042607
1989-02-01,1.020576,1.152263,1.020576,1.144033,0.720690,110741179
1989-03-01,1.156379,1.205761,1.094650,1.193416,0.751799,123061281
1989-04-01,1.193416,1.320988,1.176955,1.320988,0.832883,71399481
1989-05-01,1.312757,1.386831,1.251029,1.349794,0.851045,106339842
1989-06-01,1.349794,1.448560,1.275720,1.283951,0.809531,95963744
1989-07-01,1.296296,1.543210,1.277778,1.543210,0.972994,57337875
1989-08-01,1.567901,1.777778,1.530864,1.759259,1.110397,101454525
1989-09-01,1.759259,1.771605,1.592593,1.722222,1.087959,65488500
1989-10-01,1.765432,1.882716,1.493827,1.666667,1.052864,89369325
1989-11-01,1.679012,1.895062,1.666667,1.814815,1.146452,67369725
1989-12-01,1.814815,1.858025,1.648148,1.808642,1.143495,66513150
1990-01-01,1.814815,1.913580,1.703704,1.734568,1.096663,106764075
1990-02-01,1.746914,1.993827,1.722222,1.962963,1.241062,88269750
1990-03-01,1.969136,2.333333,1.956790,2.259259,1.429555,149977575
1990-04-01,2.234568,2.388889,2.197531,2.308642,1.460803,93168225
1990-05-01,2.358025,3.043210,2.320988,2.993827,1.894358,184159575
1990-06-01,3.024691,3.111111,2.703704,2.851852,1.804521,161179875
1990-07-01,2.851852,3.231481,2.518519,2.537037,1.605321,162596700
1990-08-01,2.527778,2.777778,2.120370,2.509259,1.588867,265967550
1990-09-01,2.481481,2.611111,2.148148,2.250000,1.426105,136344600
1990-10-01,2.277778,2.527778,1.981481,2.175926,1.379155,215924400
1990-11-01,2.185185,2.694444,2.120370,2.648148,1.678461,179213850
1990-12-01,2.703704,3.037037,2.694444,2.861111,1.815056,127218600
1991-01-01,2.851852,3.287037,2.564815,3.203704,2.032392,182416050
1991-02-01,3.194444,3.759259,3.120370,3.611111,2.290846,198254250
1991-03-01,3.583333,4.046296,3.574074,4.000000,2.537553,122184450
1991-04-01,4.000000,4.462963,3.925926,4.259259,2.703579,159869700
1991-05-01,4.259259,4.944444,4.092593,4.879630,3.097363,150842250
1991-06-01,4.861111,5.166667,4.750000,5.013889,3.182584,132269400
1991-07-01,5.055556,5.513889,4.916667,5.388889,3.420615,145105200
