Date,QQQ,IWF,VOO,SPY
10/1/2010,52.18,53.889999,108.300003,118.489998
11/1/2010,52.09,54.5,108.18,118.489998
12/1/2010,54.459999,57.259998,115.139999,125.75
1/1/2011,56,58.650002,117.699997,128.679993
2/1/2011,57.77,60.66,121.779999,133.149994
3/1/2011,57.43,60.470001,121.239998,132.589996
4/1/2011,59.080002,62.459999,124.800003,136.429993
5/1/2011,58.360001,61.77,123.339996,134.899994
6/1/2011,57.049999,60.880001,120.68,131.970001
7/1/2011,58,60.099998,118.199997,129.330002
8/1/2011,55.060001,56.880001,111.68,122.220001
9/1/2011,52.490002,52.580002,103.519997,113.150002
10/1/2011,57.950001,58.259998,114.639999,125.5
11/1/2011,56.389999,58.200001,114.300003,124.989998
12/1/2011,55.830002,57.790001,114.900002,125.5
1/1/2012,60.529999,61.279999,120.040001,131.320007
2/1/2012,64.410004,64.169998,125.18,137.020004
3/1/2012,67.550003,66.080002,128.740005,140.809998
4/1/2012,66.760002,66,127.919998,139.869995
5/1/2012,62.060001,61.759998,120.239998,131.470001
6/1/2012,64.160004,63.23,124.559998,136.100006
7/1/2012,64.800003,63.93,126.059998,137.710007
8/1/2012,68.160004,66.010002,129.220001,141.160004
9/1/2012,68.57,66.699997,131.839996,143.970001
10/1/2012,64.949997,64.75,129.259995,141.350006
11/1/2012,65.800003,65.879997,130,142.149994
12/1/2012,65.129997,65.489998,130.380005,142.410004
1/1/2013,66.870003,68.260002,137.119995,149.699997
2/1/2013,67.099998,69,138.940002,151.610001
3/1/2013,68.970001,71.370003,143.279999,156.669998
4/1/2013,70.720001,72.879997,146.279999,159.679993
5/1/2013,73.25,74.290001,149.679993,163.449997
6/1/2013,71.269997,72.739998,146.679993,160.419998
7/1/2013,75.769997,76.470001,154.460007,168.710007
8/1/2013,75.470001,75.129997,149.699997,163.649994
9/1/2013,78.879997,78.199997,154,168.009995
10/1/2013,82.790001,81.650002,160.880005,175.789993
11/1/2013,85.730003,83.889999,165.699997,181
12/1/2013,87.959999,85.949997,169.149994,184.690002
1/1/2014,86.269997,83.449997,163.179993,178.179993
2/1/2014,90.339996,87.730003,170.630005,186.289993
3/1/2014,87.669998,86.540001,171.350006,187.009995
4/1/2014,87.389999,86.599998,172.589996,188.309998
5/1/2014,91.309998,89.230003,176.550003,192.679993
6/1/2014,93.910004,90.93,179.429993,195.720001
7/1/2014,95.019997,89.230003,176.960007,193.089996
8/1/2014,99.779999,93.25,183.990005,200.710007
9/1/2014,98.790001,91.629997,180.589996,197.020004
10/1/2014,101.400002,93.959999,184.929993,201.660004
11/1/2014,106.010002,97.050003,190.029999,207.199997
12/1/2014,103.25,95.610001,188.399994,205.539993
1/1/2015,101.099998,94.209999,182.990005,199.449997
2/1/2015,108.400002,100.419998,193.199997,210.660004
3/1/2015,105.599998,98.919998,189.199997,206.429993
4/1/2015,107.629997,99.459999,191.100006,208.460007
5/1/2015,110.050003,100.769997,193.490005,211.139999
6/1/2015,107.07,99.010002,188.839996,205.850006
7/1/2015,111.949997,102.029999,192.949997,210.5
8/1/2015,104.309998,95.800003,181.110001,197.669998
9/1/2015,101.760002,93,175.710007,191.630005
10/1/2015,113.330002,101.089996,190.559998,207.929993
11/1/2015,114.019997,101.400002,191.369995,208.690002
12/1/2015,111.860001,99.480003,186.929993,203.869995
1/1/2016,104.129997,93.830002,177.75,193.720001
2/1/2016,102.5,93.830002,177.380005,193.559998
3/1/2016,109.199997,99.779999,188.559998,205.520004
4/1/2016,105.720001,98.860001,189.220001,206.330002
5/1/2016,110.339996,100.800003,192.539993,209.839996
6/1/2016,107.540001,100.360001,192.199997,209.479996
7/1/2016,115.230003,104.720001,199.279999,217.119995
8/1/2016,116.440002,104.18,199.520004,217.380005
9/1/2016,118.720001,104.169998,198.690002,216.300003
10/1/2016,116.989998,101.739998,195.130005,212.550003
11/1/2016,117.5,103.970001,202.399994,220.380005
12/1/2016,118.480003,104.900002,205.309998,223.529999
1/1/2017,124.57,108.349998,208.970001,227.529999
2/1/2017,130.020004,112.769997,217.070007,236.470001
